Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:45:20.361,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,23:45:21.154,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,23:45:24.624,target_decay,pistol,2.574s,4,1,0.25,25,200,0.125,false
4,23:45:26.262,target_decay,pistol,0.797s,2,1,0.5,25,100,0.25,false
5,23:45:36.128,target_decay,pistol,9.083s,11,1,0.091,25,550,0.045,false
6,23:45:38.742,target_decay,pistol,1.787s,3,1,0.333,25,150,0.167,false
7,23:45:42.290,target_decay,pistol,2.677s,5,1,0.2,25,250,0.1,false
8,23:45:44.036,target_decay,pistol,0.939s,2,1,0.5,25,100,0.25,false
9,23:45:45.787,target_decay,pistol,0.822s,2,1,0.5,25,100,0.25,false
10,23:45:47.420,target_decay,pistol,0.797s,2,1,0.5,25,100,0.25,false
11,23:45:48.292,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,23:45:50.046,target_decay,pistol,0.901s,2,1,0.5,25,100,0.25,false
13,23:45:50.869,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,23:45:55.353,target_decay,pistol,3.7s,5,1,0.2,25,250,0.1,false
15,23:45:56.129,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,23:46:03.147,target_decay,pistol,6.251s,9,1,0.111,25,450,0.056,false
17,23:46:03.934,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,23:46:04.774,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,23:46:12.015,target_decay,pistol,6.435s,8,1,0.125,25,400,0.062,false
20,23:46:13.750,target_decay,pistol,0.828s,2,1,0.5,25,100,0.25,false
21,23:46:14.482,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,23:46:18.028,target_decay,pistol,2.737s,4,1,0.25,25,200,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,22,550.0,3500.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,22
Deaths:,0
Fight Time:,40.327999
Avg TTK:,0
Damage Done:,550.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,691.428589
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,23:45:19.772
Pause Count:,15
Pause Duration:,1031

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,298.574188
Resolution Scale,100.0
