Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:46:23.689,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,23:46:24.522,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,23:46:26.330,target_decay,pistol,0.969s,2,1,0.5,25,100,0.25,false
4,23:46:28.121,target_decay,pistol,0.982s,2,1,0.5,25,100,0.25,false
5,23:46:32.426,target_decay,pistol,3.456s,5,1,0.2,25,250,0.1,false
6,23:46:33.246,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,23:46:34.079,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
8,23:46:34.963,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,23:46:36.662,target_decay,pistol,0.806s,2,1,0.5,25,100,0.25,false
10,23:46:37.464,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,23:46:39.194,target_decay,pistol,0.92s,2,1,0.5,25,100,0.25,false
12,23:46:40.924,target_decay,pistol,0.857s,2,1,0.5,25,100,0.25,false
13,23:46:41.740,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,23:46:42.581,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,23:46:43.441,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,23:46:44.291,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,23:46:45.074,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,23:46:47.685,target_decay,pistol,1.792s,3,1,0.333,25,150,0.167,false
19,23:46:50.362,target_decay,pistol,1.866s,3,1,0.333,25,150,0.167,false
20,23:46:52.982,target_decay,pistol,1.756s,3,1,0.333,25,150,0.167,false
21,23:46:53.779,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,23:46:57.321,target_decay,pistol,2.704s,4,1,0.25,25,200,0.125,false
23,23:46:58.121,target_decay,pistol,0s,1,1,1,25,50,0.5,false
24,23:47:02.570,target_decay,pistol,3.656s,5,1,0.2,25,250,0.1,false
25,23:47:03.356,target_decay,pistol,0s,1,1,1,25,50,0.5,false
26,23:47:10.539,target_decay,pistol,6.429s,8,1,0.125,25,400,0.062,false
27,23:47:14.214,target_decay,pistol,2.822s,4,1,0.25,25,200,0.125,false
28,23:47:18.639,target_decay,pistol,3.413s,5,1,0.2,25,250,0.1,false
29,23:47:20.414,target_decay,pistol,0.808s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,29,725.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,29
Deaths:,0
Fight Time:,33.237
Avg TTK:,0
Damage Done:,725.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1236.764648
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,23:46:23.133
Pause Count:,16
Pause Duration:,1032

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,297.249023
Resolution Scale,100.0
