Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:47:29.591,target_decay,pistol,1.701s,2,1,0.5,25,100,0.25,false
2,23:47:31.365,target_decay,pistol,0.847s,2,1,0.5,25,100,0.25,false
3,23:47:32.205,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,23:47:34.880,target_decay,pistol,1.827s,3,1,0.333,25,150,0.167,false
5,23:47:36.638,target_decay,pistol,0.904s,2,1,0.5,25,100,0.25,false
6,23:47:37.427,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,23:47:40.017,target_decay,pistol,1.662s,3,1,0.333,25,150,0.167,false
8,23:47:40.889,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,23:47:42.672,target_decay,pistol,0.89s,2,1,0.5,25,100,0.25,false
10,23:47:45.301,target_decay,pistol,1.652s,3,1,0.333,25,150,0.167,false
11,23:47:46.190,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,23:47:47.871,target_decay,pistol,0.855s,2,1,0.5,25,100,0.25,false
13,23:47:50.476,target_decay,pistol,1.832s,3,1,0.333,25,150,0.167,false
14,23:47:52.302,target_decay,pistol,0.977s,2,1,0.5,25,100,0.25,false
15,23:47:55.081,target_decay,pistol,1.923s,3,1,0.333,25,150,0.167,false
16,23:47:56.780,target_decay,pistol,0.865s,2,1,0.5,25,100,0.25,false
17,23:47:58.468,target_decay,pistol,0.769s,2,1,0.5,25,100,0.25,false
18,23:48:00.217,target_decay,pistol,0.861s,2,1,0.5,25,100,0.25,false
19,23:48:02.008,target_decay,pistol,0.916s,2,1,0.5,25,100,0.25,false
20,23:48:06.447,target_decay,pistol,3.555s,5,1,0.2,25,250,0.1,false
21,23:48:08.998,target_decay,pistol,1.717s,3,1,0.333,25,150,0.167,false
22,23:48:10.635,target_decay,pistol,0.849s,2,1,0.5,25,100,0.25,false
23,23:48:11.428,target_decay,pistol,0s,1,1,1,25,50,0.5,false
24,23:48:13.105,target_decay,pistol,0.888s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,67,24,600.0,3350.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,24
Deaths:,0
Fight Time:,25.490999
Avg TTK:,0
Damage Done:,600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,859.701477
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,23:47:27.187
Pause Count:,17
Pause Duration:,1033

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,297.24173
Resolution Scale,100.0
