Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:48:31.839,target_decay,pistol,0.602s,2,1,0.5,25,100,0.25,false
2,23:48:32.659,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,23:48:33.518,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,23:48:37.974,target_decay,pistol,3.547s,5,1,0.2,25,250,0.1,false
5,23:48:38.828,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,23:48:40.586,target_decay,pistol,0.985s,2,1,0.5,25,100,0.25,false
7,23:48:41.457,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
8,23:48:42.298,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,23:48:45.856,target_decay,pistol,2.799s,4,1,0.25,25,200,0.125,false
10,23:48:46.698,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,23:48:49.230,target_decay,pistol,1.642s,3,1,0.333,25,150,0.167,false
12,23:48:50.976,target_decay,pistol,0.862s,2,1,0.5,25,100,0.25,false
13,23:48:54.463,target_decay,pistol,2.613s,4,1,0.25,25,200,0.125,false
14,23:48:56.191,target_decay,pistol,0.89s,2,1,0.5,25,100,0.25,false
15,23:48:59.706,target_decay,pistol,2.71s,4,1,0.25,25,200,0.125,false
16,23:49:00.625,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,23:49:06.010,target_decay,pistol,4.465s,6,1,0.167,25,300,0.083,false
18,23:49:08.783,target_decay,pistol,1.81s,3,1,0.333,25,150,0.167,false
19,23:49:11.425,target_decay,pistol,1.798s,3,1,0.333,25,150,0.167,false
20,23:49:12.282,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,23:49:13.103,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,23:49:13.917,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
23,23:49:15.575,target_decay,pistol,0.79s,2,1,0.5,25,100,0.25,false
24,23:49:18.160,target_decay,pistol,1.783s,3,1,0.333,25,150,0.167,false
25,23:49:19.008,target_decay,pistol,0s,1,1,1,25,50,0.5,false
26,23:49:20.729,target_decay,pistol,0.896s,2,1,0.5,25,100,0.25,false
27,23:49:22.511,target_decay,pistol,0.965s,2,1,0.5,25,100,0.25,false
28,23:49:26.837,target_decay,pistol,3.517s,5,1,0.2,25,250,0.1,false
29,23:49:30.263,target_decay,pistol,2.669s,4,1,0.25,25,200,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,29,725.0,3450.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,29
Deaths:,0
Fight Time:,35.345001
Avg TTK:,0
Damage Done:,725.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1218.840576
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,23:48:30.623
Pause Count:,18
Pause Duration:,1034

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,296.897491
Resolution Scale,100.0
