Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:20:25.026,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,23:20:30.405,target_decay,pistol,4.363s,6,1,0.167,25,300,0.083,false
3,23:20:31.324,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,23:20:34.887,target_decay,pistol,2.827s,4,1,0.25,25,200,0.125,false
5,23:20:35.719,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,23:20:36.620,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,23:20:38.331,target_decay,pistol,0.863s,2,1,0.5,25,100,0.25,false
8,23:20:39.124,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,23:20:43.605,target_decay,pistol,3.692s,5,1,0.2,25,250,0.1,false
10,23:20:46.245,target_decay,pistol,1.792s,3,1,0.333,25,150,0.167,false
11,23:20:47.033,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,23:20:50.561,target_decay,pistol,2.702s,4,1,0.25,25,200,0.125,false
13,23:20:51.427,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,23:20:53.962,target_decay,pistol,1.645s,3,1,0.333,25,150,0.167,false
15,23:21:00.224,target_decay,pistol,5.431s,7,1,0.143,25,350,0.071,false
16,23:21:03.964,target_decay,pistol,2.896s,4,1,0.25,25,200,0.125,false
17,23:21:09.290,target_decay,pistol,4.421s,6,1,0.167,25,300,0.083,false
18,23:21:10.057,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,23:21:14.444,target_decay,pistol,3.554s,5,1,0.2,25,250,0.1,false
20,23:21:16.201,target_decay,pistol,0.794s,2,1,0.5,25,100,0.25,false
21,23:21:18.831,target_decay,pistol,1.779s,3,1,0.333,25,150,0.167,false
22,23:21:19.602,target_decay,pistol,0s,1,1,1,25,50,0.5,false
23,23:21:20.403,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,23,575.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,23
Deaths:,0
Fight Time:,36.758999
Avg TTK:,0
Damage Done:,575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,777.941162
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,23:20:24.069
Pause Count:,14
Pause Duration:,232

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,290.959991
Resolution Scale,100.0
