Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:21:29.193,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
2,23:21:30.933,target_decay,pistol,0.74s,2,1,0.5,25,100,0.25,false
3,23:21:34.504,target_decay,pistol,2.764s,4,1,0.25,25,200,0.125,false
4,23:21:35.386,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,23:21:37.043,target_decay,pistol,0.821s,2,1,0.5,25,100,0.25,false
6,23:21:40.502,target_decay,pistol,2.593s,4,1,0.25,25,200,0.125,false
7,23:21:41.273,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,23:21:42.976,target_decay,pistol,0.904s,2,1,0.5,25,100,0.25,false
9,23:21:45.615,target_decay,pistol,1.796s,3,1,0.333,25,150,0.167,false
10,23:21:49.087,target_decay,pistol,2.627s,4,1,0.25,25,200,0.125,false
11,23:21:49.943,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,23:21:50.803,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
13,23:21:51.579,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,23:21:53.248,target_decay,pistol,0.812s,2,1,0.5,25,100,0.25,false
15,23:21:55.119,target_decay,pistol,1.005s,2,1,0.5,25,100,0.25,false
16,23:22:01.349,target_decay,pistol,5.42s,7,1,0.143,25,350,0.071,false
17,23:22:06.808,target_decay,pistol,4.573s,6,1,0.167,25,300,0.083,false
18,23:22:07.603,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,23:22:08.440,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
20,23:22:11.975,target_decay,pistol,2.622s,4,1,0.25,25,200,0.125,false
21,23:22:12.783,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,23:22:13.590,target_decay,pistol,0s,1,1,1,25,50,0.5,false
23,23:22:15.313,target_decay,pistol,0.833s,2,1,0.5,25,100,0.25,false
24,23:22:17.057,target_decay,pistol,0.829s,2,1,0.5,25,100,0.25,false
25,23:22:18.771,target_decay,pistol,0.783s,2,1,0.5,25,100,0.25,false
26,23:22:19.558,target_decay,pistol,0s,1,1,1,25,50,0.5,false
27,23:22:20.423,target_decay,pistol,0s,1,1,1,25,50,0.5,false
28,23:22:21.304,target_decay,pistol,0s,1,1,1,25,50,0.5,false
29,23:22:22.141,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,29,725.0,3450.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,29
Deaths:,0
Fight Time:,29.125999
Avg TTK:,0
Damage Done:,725.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1218.840576
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,23:21:28.499
Pause Count:,15
Pause Duration:,233

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,290.335724
Resolution Scale,100.0
