Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:23:39.720,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,23:23:45.867,target_decay,pistol,5.292s,9,1,0.111,25,450,0.056,false
3,23:23:46.667,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,23:23:48.412,target_decay,pistol,0.795s,2,1,0.5,25,100,0.25,false
5,23:23:55.527,target_decay,pistol,6.246s,8,1,0.125,25,400,0.062,false
6,23:23:57.246,target_decay,pistol,0.912s,2,1,0.5,25,100,0.25,false
7,23:24:00.840,target_decay,pistol,2.73s,4,1,0.25,25,200,0.125,false
8,23:24:02.569,target_decay,pistol,0.911s,2,1,0.5,25,100,0.25,false
9,23:24:07.021,target_decay,pistol,3.642s,5,1,0.2,25,250,0.1,false
10,23:24:18.654,target_decay,pistol,10.813s,13,1,0.077,25,650,0.038,false
11,23:24:22.118,target_decay,pistol,2.519s,4,1,0.25,25,200,0.125,false
12,23:24:23.902,target_decay,pistol,0.837s,2,1,0.5,25,100,0.25,false
13,23:24:26.406,target_decay,pistol,1.682s,3,1,0.333,25,150,0.167,false
14,23:24:27.166,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,23:24:29.690,target_decay,pistol,1.499s,3,1,0.333,25,150,0.167,false
16,23:24:32.228,target_decay,pistol,1.744s,3,1,0.333,25,150,0.167,false
17,23:24:33.028,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,23:24:35.631,target_decay,pistol,1.751s,4,1,0.25,25,200,0.125,false
19,23:24:37.312,target_decay,pistol,0.849s,2,1,0.5,25,100,0.25,false
20,23:24:38.110,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,72,20,500.0,3600.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,20
Deaths:,0
Fight Time:,42.222
Avg TTK:,0
Damage Done:,500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,555.555603
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,23:23:39.087
Pause Count:,17
Pause Duration:,235

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,293.499207
Resolution Scale,100.0
