Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:24:46.080,target_decay,pistol,1.651s,3,1,0.333,25,150,0.167,false
2,23:24:47.920,target_decay,pistol,1.015s,2,1,0.5,25,100,0.25,false
3,23:24:52.287,target_decay,pistol,3.542s,5,1,0.2,25,250,0.1,false
4,23:24:53.148,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,23:24:56.633,target_decay,pistol,2.524s,4,1,0.25,25,200,0.125,false
6,23:24:59.222,target_decay,pistol,1.728s,3,1,0.333,25,150,0.167,false
7,23:25:00.140,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,23:25:09.188,target_decay,pistol,8.226s,10,1,0.1,25,500,0.05,false
9,23:25:10.857,target_decay,pistol,0.828s,2,1,0.5,25,100,0.25,false
10,23:25:13.454,target_decay,pistol,0.915s,2,1,0.5,25,100,0.25,false
11,23:25:17.031,target_decay,pistol,2.7s,4,1,0.25,25,200,0.125,false
12,23:25:20.531,target_decay,pistol,2.688s,4,1,0.25,25,200,0.125,false
13,23:25:22.265,target_decay,pistol,0.849s,2,1,0.5,25,100,0.25,false
14,23:25:24.800,target_decay,pistol,1.619s,3,1,0.333,25,150,0.167,false
15,23:25:25.653,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
16,23:25:27.436,target_decay,pistol,0.889s,2,1,0.5,25,100,0.25,false
17,23:25:28.262,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,23:25:29.072,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,23:25:29.921,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,23:25:30.681,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,23:25:32.360,target_decay,pistol,0.846s,2,1,0.5,25,100,0.25,false
22,23:25:35.907,target_decay,pistol,2.739s,5,1,0.2,25,250,0.1,false
23,23:25:38.535,target_decay,pistol,1.786s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,66,23,575.0,3300.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,23
Deaths:,0
Fight Time:,34.546001
Avg TTK:,0
Damage Done:,575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,801.515137
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,23:24:41.963
Pause Count:,18
Pause Duration:,236

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,292.397461
Resolution Scale,100.0
