Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:06:13.653,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,00:06:14.406,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,00:06:18.798,target_decay,pistol,3.565s,5,1,0.2,25,250,0.1,false
4,00:06:20.582,target_decay,pistol,0.917s,2,1,0.5,25,100,0.25,false
5,00:06:21.442,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,00:06:24.921,target_decay,pistol,2.677s,4,1,0.25,25,200,0.125,false
7,00:06:25.759,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,00:06:27.510,target_decay,pistol,0.937s,2,1,0.5,25,100,0.25,false
9,00:06:28.371,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,00:06:30.924,target_decay,pistol,1.675s,3,1,0.333,25,150,0.167,false
11,00:06:31.769,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,00:06:34.283,target_decay,pistol,1.751s,3,1,0.333,25,150,0.167,false
13,00:06:35.120,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,00:06:35.901,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,00:06:36.765,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,00:06:39.355,target_decay,pistol,1.772s,3,1,0.333,25,150,0.167,false
17,00:06:43.770,target_decay,pistol,3.592s,5,1,0.2,25,250,0.1,false
18,00:06:46.378,target_decay,pistol,1.775s,3,1,0.333,25,150,0.167,false
19,00:06:50.759,target_decay,pistol,3.558s,5,1,0.2,25,250,0.1,false
20,00:06:52.500,target_decay,pistol,0.901s,2,1,0.5,25,100,0.25,false
21,00:06:53.319,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,00:06:54.170,target_decay,pistol,0s,1,1,1,25,50,0.5,false
23,00:06:55.938,target_decay,pistol,0.955s,2,1,0.5,25,100,0.25,false
24,00:06:56.689,target_decay,pistol,0s,1,1,1,25,50,0.5,false
25,00:06:57.484,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
26,00:06:58.314,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
27,00:06:59.166,target_decay,pistol,0s,1,1,1,25,50,0.5,false
28,00:07:00.808,target_decay,pistol,0.803s,2,1,0.5,25,100,0.25,false
29,00:07:06.997,target_decay,pistol,5.4s,7,1,0.143,25,350,0.071,false
30,00:07:07.796,target_decay,pistol,0s,1,1,1,25,50,0.5,false
31,00:07:08.597,target_decay,pistol,0s,1,1,1,25,50,0.5,false
32,00:07:10.232,target_decay,pistol,0.853s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,32,800.0,3500.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,32
Deaths:,0
Fight Time:,31.132999
Avg TTK:,0
Damage Done:,800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1462.857178
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,00:06:12.863
Pause Count:,8
Pause Duration:,27

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.7
Vert Sens:,6.7
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,293.595032
Resolution Scale,100.0
