Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:07:19.180,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,00:07:21.734,target_decay,pistol,1.668s,3,1,0.333,25,150,0.167,false
3,00:07:27.039,target_decay,pistol,4.489s,6,1,0.167,25,300,0.083,false
4,00:07:27.829,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,00:07:28.641,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,00:07:31.346,target_decay,pistol,1.922s,3,1,0.333,25,150,0.167,false
7,00:07:32.130,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,00:07:33.815,target_decay,pistol,0.863s,2,1,0.5,25,100,0.25,false
9,00:07:34.637,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,00:07:37.150,target_decay,pistol,1.695s,3,1,0.333,25,150,0.167,false
11,00:07:38.826,target_decay,pistol,0.862s,2,1,0.5,25,100,0.25,false
12,00:07:41.505,target_decay,pistol,1.821s,3,1,0.333,25,150,0.167,false
13,00:07:44.094,target_decay,pistol,1.827s,3,1,0.333,25,150,0.167,false
14,00:07:53.091,target_decay,pistol,8.204s,10,1,0.1,25,500,0.05,false
15,00:07:58.384,target_decay,pistol,4.432s,6,1,0.167,25,300,0.083,false
16,00:08:01.862,target_decay,pistol,2.649s,4,1,0.25,25,200,0.125,false
17,00:08:05.317,target_decay,pistol,2.624s,4,1,0.25,25,200,0.125,false
18,00:08:07.910,target_decay,pistol,1.693s,3,1,0.333,25,150,0.167,false
19,00:08:10.515,target_decay,pistol,0.906s,2,1,0.5,25,100,0.25,false
20,00:08:15.822,target_decay,pistol,4.456s,6,1,0.167,25,300,0.083,false
21,00:08:16.645,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,00:08:17.427,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,22,550.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,22
Deaths:,0
Fight Time:,40.111
Avg TTK:,0
Damage Done:,550.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,711.764709
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,00:07:18.539
Pause Count:,9
Pause Duration:,28

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.7
Vert Sens:,6.7
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,293.90564
Resolution Scale,100.0
