Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:08:22.525,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
2,00:08:24.220,target_decay,pistol,0.86s,2,1,0.5,25,100,0.25,false
3,00:08:26.817,target_decay,pistol,1.686s,3,1,0.333,25,150,0.167,false
4,00:08:29.423,target_decay,pistol,1.816s,3,1,0.333,25,150,0.167,false
5,00:08:37.545,target_decay,pistol,7.307s,9,1,0.111,25,450,0.056,false
6,00:08:42.855,target_decay,pistol,4.507s,6,1,0.167,25,300,0.083,false
7,00:08:44.546,target_decay,pistol,0.849s,2,1,0.5,25,100,0.25,false
8,00:08:46.265,target_decay,pistol,0.881s,2,1,0.5,25,100,0.25,false
9,00:08:47.938,target_decay,pistol,0.853s,2,1,0.5,25,100,0.25,false
10,00:08:51.366,target_decay,pistol,2.916s,5,1,0.2,25,250,0.1,false
11,00:08:54.855,target_decay,pistol,2.584s,4,1,0.25,25,200,0.125,false
12,00:08:57.437,target_decay,pistol,1.765s,3,1,0.333,25,150,0.167,false
13,00:08:59.204,target_decay,pistol,0.906s,2,1,0.5,25,100,0.25,false
14,00:09:00.866,target_decay,pistol,0.917s,2,1,0.5,25,100,0.25,false
15,00:09:03.390,target_decay,pistol,1.646s,3,1,0.333,25,150,0.167,false
16,00:09:05.988,target_decay,pistol,1.775s,3,1,0.333,25,150,0.167,false
17,00:09:06.814,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,00:09:11.273,target_decay,pistol,3.662s,5,1,0.2,25,250,0.1,false
19,00:09:14.008,target_decay,pistol,1.922s,3,1,0.333,25,150,0.167,false
20,00:09:14.854,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,00:09:17.472,target_decay,pistol,1.809s,3,1,0.333,25,150,0.167,false
22,00:09:19.186,target_decay,pistol,0.853s,2,1,0.5,25,100,0.25,false
23,00:09:19.996,target_decay,pistol,0s,1,1,1,25,50,0.5,false
24,00:09:20.788,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,24,600.0,3500.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,24
Deaths:,0
Fight Time:,39.514999
Avg TTK:,0
Damage Done:,600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,822.857178
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,00:08:21.705
Pause Count:,10
Pause Duration:,29

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.7
Vert Sens:,6.7
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,292.604858
Resolution Scale,100.0
