Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:53:26.295,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,18:53:28.067,target_decay,pistol,0.903s,2,1,0.5,25,100,0.25,false
3,18:53:30.661,target_decay,pistol,1.776s,3,1,0.333,25,150,0.167,false
4,18:53:36.014,target_decay,pistol,4.503s,7,1,0.143,25,350,0.071,false
5,18:53:36.890,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,18:53:37.728,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,18:53:40.319,target_decay,pistol,1.772s,3,1,0.333,25,150,0.167,false
8,18:53:43.140,target_decay,pistol,1.96s,3,1,0.333,25,150,0.167,false
9,18:53:43.936,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,18:53:48.447,target_decay,pistol,3.676s,5,1,0.2,25,250,0.1,false
11,18:53:51.095,target_decay,pistol,1.798s,3,1,0.333,25,150,0.167,false
12,18:53:56.534,target_decay,pistol,4.636s,6,1,0.167,25,300,0.083,false
13,18:53:58.280,target_decay,pistol,0.705s,2,1,0.5,25,100,0.25,false
14,18:53:59.970,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,18:54:00.816,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,18:54:02.512,target_decay,pistol,0.83s,2,1,0.5,25,100,0.25,false
17,18:54:05.165,target_decay,pistol,1.864s,3,1,0.333,25,150,0.167,false
18,18:54:06.997,target_decay,pistol,0.991s,2,1,0.5,25,100,0.25,false
19,18:54:11.396,target_decay,pistol,3.527s,5,1,0.2,25,250,0.1,false
20,18:54:13.151,target_decay,pistol,0.871s,2,1,0.5,25,100,0.25,false
21,18:54:16.607,target_decay,pistol,2.602s,4,1,0.25,25,200,0.125,false
22,18:54:20.054,target_decay,pistol,2.606s,4,1,0.25,25,200,0.125,false
23,18:54:22.561,target_decay,pistol,1.75s,3,1,0.333,25,150,0.167,false
24,18:54:23.342,target_decay,pistol,0s,1,1,1,25,50,0.5,false
25,18:54:24.124,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,25,625.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,25
Deaths:,0
Fight Time:,36.77
Avg TTK:,0
Damage Done:,625.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,919.117615
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,18:53:25.366
Pause Count:,7
Pause Duration:,2977

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.75
Vert Sens:,6.75
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,299.527039
Resolution Scale,100.0
