Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:55:32.795,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,18:55:33.650,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,18:55:35.418,target_decay,pistol,0.876s,2,1,0.5,25,100,0.25,false
4,18:55:36.318,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,18:55:38.032,target_decay,pistol,0.914s,2,1,0.5,25,100,0.25,false
6,18:55:38.804,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,18:55:43.227,target_decay,pistol,3.472s,5,1,0.2,25,250,0.1,false
8,18:55:45.966,target_decay,pistol,1.874s,3,1,0.333,25,150,0.167,false
9,18:55:47.702,target_decay,pistol,0.907s,2,1,0.5,25,100,0.25,false
10,18:55:52.940,target_decay,pistol,4.366s,6,1,0.167,25,300,0.083,false
11,18:55:55.511,target_decay,pistol,1.661s,3,1,0.333,25,150,0.167,false
12,18:55:59.193,target_decay,pistol,2.817s,5,1,0.2,25,250,0.1,false
13,18:56:00.003,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,18:56:08.128,target_decay,pistol,7.236s,9,1,0.111,25,450,0.056,false
15,18:56:08.982,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,18:56:09.782,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,18:56:11.487,target_decay,pistol,0.861s,2,1,0.5,25,100,0.25,false
18,18:56:18.534,target_decay,pistol,6.219s,8,1,0.125,25,400,0.062,false
19,18:56:25.701,target_decay,pistol,6.369s,7,1,0.143,25,350,0.071,false
20,18:56:26.543,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,18:56:27.366,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,18:56:29.018,target_decay,pistol,0.793s,2,1,0.5,25,100,0.25,false
23,18:56:30.711,target_decay,pistol,0.784s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,23,575.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,23
Deaths:,0
Fight Time:,39.148998
Avg TTK:,0
Damage Done:,575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,777.941162
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,18:55:31.914
Pause Count:,9
Pause Duration:,2979

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.75
Vert Sens:,6.75
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,298.596527
Resolution Scale,100.0
