Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:56:39.454,target_decay,pistol,4.385s,8,1,0.125,25,400,0.062,false
2,18:56:40.290,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,18:56:45.549,target_decay,pistol,4.43s,6,1,0.167,25,300,0.083,false
4,18:56:46.300,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,18:56:48.016,target_decay,pistol,0.9s,2,1,0.5,25,100,0.25,false
6,18:56:50.586,target_decay,pistol,1.712s,3,1,0.333,25,150,0.167,false
7,18:56:58.614,target_decay,pistol,7.207s,9,1,0.111,25,450,0.056,false
8,18:57:02.243,target_decay,pistol,2.776s,4,1,0.25,25,200,0.125,false
9,18:57:08.465,target_decay,pistol,5.381s,7,1,0.143,25,350,0.071,false
10,18:57:11.099,target_decay,pistol,2.234s,4,1,0.25,25,200,0.125,false
11,18:57:12.806,target_decay,pistol,0.73s,2,1,0.5,25,100,0.25,false
12,18:57:14.458,target_decay,pistol,0.931s,2,1,0.5,25,100,0.25,false
13,18:57:15.282,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
14,18:57:19.790,target_decay,pistol,3.686s,5,1,0.2,25,250,0.1,false
15,18:57:20.597,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,18:57:21.396,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,18:57:23.062,target_decay,pistol,0.82s,2,1,0.5,25,100,0.25,false
18,18:57:28.313,target_decay,pistol,4.471s,6,1,0.167,25,300,0.083,false
19,18:57:31.734,target_decay,pistol,2.651s,4,1,0.25,25,200,0.125,false
20,18:57:32.520,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,18:57:33.328,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,73,21,525.0,3650.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,21
Deaths:,0
Fight Time:,42.314999
Avg TTK:,0
Damage Done:,525.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,604.109619
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,18:56:34.434
Pause Count:,10
Pause Duration:,2980

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.75
Vert Sens:,6.75
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,299.332306
Resolution Scale,100.0
