Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:05:52.696,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,23:05:53.546,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,23:05:55.354,target_decay,pistol,1.007s,2,1,0.5,25,100,0.25,false
4,23:05:56.150,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,23:05:57.852,target_decay,pistol,0.842s,2,1,0.5,25,100,0.25,false
6,23:05:59.630,target_decay,pistol,1.005s,3,1,0.333,25,150,0.167,false
7,23:06:02.413,target_decay,pistol,1.978s,3,1,0.333,25,150,0.167,false
8,23:06:04.101,target_decay,pistol,0.836s,2,1,0.5,25,100,0.25,false
9,23:06:04.962,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,23:06:05.803,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,23:06:06.660,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,23:06:07.515,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,23:06:10.082,target_decay,pistol,1.743s,3,1,0.333,25,150,0.167,false
14,23:06:15.288,target_decay,pistol,4.362s,6,1,0.167,25,300,0.083,false
15,23:06:18.788,target_decay,pistol,2.689s,4,1,0.25,25,200,0.125,false
16,23:06:19.635,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,23:06:22.227,target_decay,pistol,1.767s,3,1,0.333,25,150,0.167,false
18,23:06:23.037,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,23:06:23.911,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,23:06:26.512,target_decay,pistol,1.754s,3,1,0.333,25,150,0.167,false
21,23:06:27.268,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,23:06:29.874,target_decay,pistol,1.816s,3,1,0.333,25,150,0.167,false
23,23:06:30.696,target_decay,pistol,0s,1,1,1,25,50,0.5,false
24,23:06:31.524,target_decay,pistol,0s,1,1,1,25,50,0.5,false
25,23:06:33.191,target_decay,pistol,0.848s,2,1,0.5,25,100,0.25,false
26,23:06:34.809,target_decay,pistol,0.81s,2,1,0.5,25,100,0.25,false
27,23:06:39.189,target_decay,pistol,3.538s,5,1,0.2,25,250,0.1,false
28,23:06:42.674,target_decay,pistol,2.553s,4,1,0.25,25,200,0.125,false
29,23:06:45.241,target_decay,pistol,2.094s,4,1,0.25,25,200,0.125,false
30,23:06:46.967,target_decay,pistol,0.777s,2,1,0.5,25,100,0.25,false
31,23:06:49.599,target_decay,pistol,1.813s,3,1,0.333,25,150,0.167,false
32,23:06:50.394,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,71,32,800.0,3550.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,32
Deaths:,0
Fight Time:,32.231998
Avg TTK:,0
Damage Done:,800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1442.25354
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,23:02:31.855
Pause Count:,1
Pause Duration:,41

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.5
Vert Sens:,6.5
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,297.634888
Resolution Scale,100.0
