Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:06:54.555,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,23:06:56.258,target_decay,pistol,0.952s,2,1,0.5,25,100,0.25,false
3,23:06:57.084,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,23:06:57.971,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,23:06:58.813,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,23:07:01.469,target_decay,pistol,1.849s,3,1,0.333,25,150,0.167,false
7,23:07:04.236,target_decay,pistol,1.985s,3,1,0.333,25,150,0.167,false
8,23:07:05.030,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,23:07:05.829,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,23:07:11.072,target_decay,pistol,4.372s,7,1,0.143,25,350,0.071,false
11,23:07:11.907,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,23:07:13.616,target_decay,pistol,0.832s,2,1,0.5,25,100,0.25,false
13,23:07:14.393,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
14,23:07:15.219,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,23:07:15.984,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,23:07:23.957,target_decay,pistol,6.943s,8,1,0.125,25,400,0.062,false
17,23:07:27.416,target_decay,pistol,2.516s,5,1,0.2,25,250,0.1,false
18,23:07:29.007,target_decay,pistol,0.782s,2,1,0.5,25,100,0.25,false
19,23:07:29.830,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,23:07:32.390,target_decay,pistol,1.718s,3,1,0.333,25,150,0.167,false
21,23:07:36.703,target_decay,pistol,3.533s,5,1,0.2,25,250,0.1,false
22,23:07:37.569,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
23,23:07:40.141,target_decay,pistol,1.746s,3,1,0.333,25,150,0.167,false
24,23:07:45.415,target_decay,pistol,4.436s,7,1,0.143,25,350,0.071,false
25,23:07:46.215,target_decay,pistol,0s,1,1,1,25,50,0.5,false
26,23:07:46.997,target_decay,pistol,0s,1,1,1,25,50,0.5,false
27,23:07:47.733,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
28,23:07:48.512,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,71,28,700.0,3550.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,28
Deaths:,0
Fight Time:,31.669001
Avg TTK:,0
Damage Done:,700.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1104.225342
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,23:02:31.855
Pause Count:,1
Pause Duration:,41

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.5
Vert Sens:,6.5
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,297.630157
Resolution Scale,100.0
