Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:07:57.022,target_decay,pistol,0.284s,2,1,0.5,25,100,0.25,false
2,23:07:57.762,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,23:08:04.008,target_decay,pistol,5.49s,7,1,0.143,25,350,0.071,false
4,23:08:07.555,target_decay,pistol,2.747s,3,1,0.333,25,150,0.167,false
5,23:08:08.305,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
6,23:08:10.882,target_decay,pistol,1.753s,3,1,0.333,25,150,0.167,false
7,23:08:11.687,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,23:08:13.415,target_decay,pistol,0.901s,2,1,0.5,25,100,0.25,false
9,23:08:14.159,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,23:08:14.956,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,23:08:15.729,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,23:08:19.098,target_decay,pistol,2.549s,4,1,0.25,25,200,0.125,false
13,23:08:21.612,target_decay,pistol,1.728s,3,1,0.333,25,150,0.167,false
14,23:08:23.324,target_decay,pistol,0.889s,2,1,0.5,25,100,0.25,false
15,23:08:26.021,target_decay,pistol,1.894s,3,1,0.333,25,150,0.167,false
16,23:08:26.840,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,23:08:31.164,target_decay,pistol,3.472s,6,1,0.167,25,300,0.083,false
18,23:08:32.858,target_decay,pistol,0.905s,2,1,0.5,25,100,0.25,false
19,23:08:33.604,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,23:08:36.156,target_decay,pistol,1.705s,3,1,0.333,25,150,0.167,false
21,23:08:36.947,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,23:08:47.695,target_decay,pistol,9.931s,12,1,0.083,25,600,0.042,false
23,23:08:48.530,target_decay,pistol,0s,1,1,1,25,50,0.5,false
24,23:08:49.320,target_decay,pistol,0s,1,1,1,25,50,0.5,false
25,23:08:52.839,target_decay,pistol,2.715s,4,1,0.25,25,200,0.125,false
26,23:08:54.510,target_decay,pistol,0.834s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,26,650.0,3500.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,26
Deaths:,0
Fight Time:,37.798
Avg TTK:,0
Damage Done:,650.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,965.714294
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,23:02:31.855
Pause Count:,1
Pause Duration:,41

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.5
Vert Sens:,6.5
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,296.954163
Resolution Scale,100.0
