Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:08:59.030,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,23:08:59.875,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,23:09:00.699,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,23:09:03.301,target_decay,pistol,1.782s,3,1,0.333,25,150,0.167,false
5,23:09:05.785,target_decay,pistol,1.702s,3,1,0.333,25,150,0.167,false
6,23:09:11.931,target_decay,pistol,5.397s,7,1,0.143,25,350,0.071,false
7,23:09:12.645,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,23:09:14.294,target_decay,pistol,0.878s,2,1,0.5,25,100,0.25,false
9,23:09:15.121,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,23:09:16.741,target_decay,pistol,0.796s,2,1,0.5,25,100,0.25,false
11,23:09:20.203,target_decay,pistol,2.641s,4,1,0.25,25,200,0.125,false
12,23:09:22.821,target_decay,pistol,1.769s,3,1,0.333,25,150,0.167,false
13,23:09:23.703,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,23:09:32.642,target_decay,pistol,8.163s,10,1,0.1,25,500,0.05,false
15,23:09:33.481,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,23:09:34.268,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,23:09:35.931,target_decay,pistol,0.829s,2,1,0.5,25,100,0.25,false
18,23:09:37.562,target_decay,pistol,0.817s,2,1,0.5,25,100,0.25,false
19,23:09:38.281,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,23:09:39.183,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,23:09:40.823,target_decay,pistol,0.836s,2,1,0.5,25,100,0.25,false
22,23:09:41.660,target_decay,pistol,0s,1,1,1,25,50,0.5,false
23,23:09:46.019,target_decay,pistol,3.563s,5,1,0.2,25,250,0.1,false
24,23:09:50.404,target_decay,pistol,3.609s,5,1,0.2,25,250,0.1,false
25,23:09:51.180,target_decay,pistol,0s,1,1,1,25,50,0.5,false
26,23:09:51.958,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
27,23:09:53.669,target_decay,pistol,0.823s,2,1,0.5,25,100,0.25,false
28,23:09:55.423,target_decay,pistol,0.942s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,28,700.0,3450.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,28
Deaths:,0
Fight Time:,34.548
Avg TTK:,0
Damage Done:,700.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1136.231812
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,23:02:31.855
Pause Count:,1
Pause Duration:,41

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.5
Vert Sens:,6.5
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,297.285736
Resolution Scale,100.0
