Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:47:44.570,Quaker Bot Hard,LG,5.655s,124,50,0.403,300,744,0.403,false
2,16:47:53.417,Quaker Bot Hard,LG,6.361s,136,50,0.368,300,816,0.368,false
3,16:48:01.899,Quaker Bot Hard,LG,8.207s,129,50,0.388,300,774,0.388,false
4,16:48:10.529,Quaker Bot Hard,LG,8.354s,134,50,0.373,300,804,0.373,false
5,16:48:19.810,Quaker Bot Hard,LG,6.393s,140,50,0.357,300,840,0.357,false
6,16:48:28.785,Quaker Bot Hard,LG,6.3s,138,50,0.362,300,828,0.362,false
7,16:48:36.596,Quaker Bot Hard,LG,5.382s,118,50,0.424,300,708,0.424,false
8,16:48:43.301,Quaker Bot Hard,LG,6.433s,97,50,0.515,300,582,0.515,false
9,16:48:51.830,Quaker Bot Hard,LG,6.208s,136,50,0.368,300,816,0.368,false
10,16:49:00.912,Quaker Bot Hard,LG,8.807s,149,50,0.336,300,894,0.336,false
11,16:49:08.738,Quaker Bot Hard,LG,5.517s,121,50,0.413,300,726,0.413,false
12,16:49:20.148,Quaker Bot Hard,LG,11.133s,197,50,0.254,300,1182,0.254,false
13,16:49:28.830,Quaker Bot Hard,LG,6.392s,140,50,0.357,300,840,0.357,false
14,16:49:36.314,Quaker Bot Hard,LG,5.148s,113,50,0.442,300,678,0.442,false
15,16:49:45.771,Quaker Bot Hard,LG,7.08s,155,50,0.323,300,930,0.323,false
16,16:49:55.475,Quaker Bot Hard,LG,7.082s,155,50,0.323,300,930,0.323,false
17,16:50:04.655,Quaker Bot Hard,LG,8.903s,150,50,0.333,300,900,0.333,false
18,16:50:11.862,Quaker Bot Hard,LG,6.93s,107,50,0.467,300,642,0.467,false
19,16:50:19.811,Quaker Bot Hard,LG,7.727s,126,50,0.397,300,756,0.397,false
20,16:50:29.629,Quaker Bot Hard,LG,7.359s,161,50,0.311,300,966,0.311,false
21,16:51:26.709,Quaker Bot Hard,LG,56.805s,135,50,0.37,300,810,0.37,false
22,16:51:36.380,Quaker Bot Hard,LG,9.396s,161,50,0.311,300,966,0.311,false
23,16:51:55.223,Quaker Bot Hard,LG,18.568s,156,50,0.321,300,936,0.321,false
24,16:52:03.175,Quaker Bot Hard,LG,5.518s,121,50,0.413,300,726,0.413,false
25,16:52:11.855,Quaker Bot Hard,LG,6.208s,136,50,0.368,300,816,0.368,false
26,16:52:26.746,Quaker Bot Hard,LG,4.138s,91,50,0.549,300,546,0.549,false
27,16:52:34.751,Quaker Bot Hard,LG,7.755s,124,50,0.403,300,744,0.403,false
28,16:52:42.714,Quaker Bot Hard,LG,5.38s,118,50,0.424,300,708,0.424,false
29,16:52:50.106,Quaker Bot Hard,LG,7.13s,113,50,0.442,300,678,0.442,false
30,16:52:57.502,Quaker Bot Hard,LG,4.827s,106,50,0.472,300,636,0.472,false
31,16:53:08.597,Quaker Bot Hard,LG,8.735s,191,50,0.262,300,1146,0.262,false
32,16:53:18.295,Quaker Bot Hard,LG,9.425s,160,50,0.312,300,960,0.312,false
33,16:53:27.537,Quaker Bot Hard,LG,9.13s,147,50,0.34,300,882,0.34,false
34,16:53:35.713,Quaker Bot Hard,LG,5.701s,125,50,0.4,300,750,0.4,false
35,16:53:44.018,Quaker Bot Hard,LG,5.887s,129,50,0.388,300,774,0.388,false
36,16:53:51.140,Quaker Bot Hard,LG,4.828s,106,50,0.472,300,636,0.472,false
37,16:54:00.336,Quaker Bot Hard,LG,9.079s,146,50,0.342,300,876,0.342,false
38,16:54:08.140,Quaker Bot Hard,LG,5.287s,116,50,0.431,300,696,0.431,false
