Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:25:11.470,ABSD Target T 01,ABSD Fully-auto,4.613s,87,40,0.46,240,522,0.46,false
2,15:25:19.519,ABSD Target B 01,ABSD Fully-auto,7.797s,112,40,0.357,240,672,0.357,false
3,15:25:26.701,ABSD Target T 02,ABSD Fully-auto,6.883s,100,40,0.4,240,600,0.4,false
4,15:25:31.603,ABSD Target B 02,ABSD Fully-auto,3.847s,78,40,0.513,240,468,0.513,false
5,15:25:37.944,ABSD Target T 03,ABSD Fully-auto,6.088s,85,40,0.471,240,510,0.471,false
6,15:25:46.308,ABSD Target B 03,ABSD Fully-auto,8.068s,105,40,0.381,240,630,0.381,false
7,15:25:51.699,ABSD Target T 04,ABSD Fully-auto,5.137s,87,40,0.46,240,522,0.46,false
8,15:25:57.492,ABSD Target B 04,ABSD Fully-auto,5.497s,95,40,0.421,240,570,0.421,false
9,15:26:01.906,ABSD Target T 05,ABSD Fully-auto,3.511s,66,40,0.606,240,396,0.606,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ABSD Fully-auto,877,397,2382.0,5262.0,

Kills:,9
Deaths:,0
Fight Time:,51.441002
Avg TTK:,0
Damage Done:,2382.0
Damage Taken:,0.0
Midairs:,0
Midaired:,5
Directs:,0
Directed:,17
Reloads:,0
Distance Traveled:,15975.112305
Score:,2382.0
Scenario:,Stair Dodge Robots
Hash:,2b60a15bd7180087eac068742b0dd283
Game Version:,v2.6.3
Challenge Start:,15:25:05.894
Pause Count:,5
Pause Duration:,103

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.2
Vert Sens:,7.2
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,282.989227
Resolution Scale,100.0
