Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:54:10.274,ABSD Target T 01,ABSD Fully-auto,3.792000s,71,40,0.563380,240.000000,426.000000,0.563380,0
2,14:54:14.587,ABSD Target B 01,ABSD Fully-auto,3.298000s,67,40,0.597015,240.000000,402.000000,0.597015,0
3,14:54:20.324,ABSD Target T 02,ABSD Fully-auto,5.090000s,90,40,0.444444,240.000000,540.000000,0.444444,0
4,14:54:27.217,ABSD Target B 02,ABSD Fully-auto,6.086000s,118,40,0.338983,240.000000,708.000000,0.338983,0
5,14:54:31.586,ABSD Target T 03,ABSD Fully-auto,3.784000s,74,40,0.540541,240.000000,444.000000,0.540541,0
6,14:54:36.919,ABSD Target B 03,ABSD Fully-auto,5.153000s,85,40,0.470588,240.000000,510.000000,0.470588,0
7,14:54:43.496,ABSD Target T 04,ABSD Fully-auto,5.936000s,90,40,0.444444,240.000000,540.000000,0.444444,0
8,14:54:46.908,ABSD Target B 04,ABSD Fully-auto,2.799000s,57,40,0.701754,240.000000,342.000000,0.701754,0
9,14:54:51.449,ABSD Target T 05,ABSD Fully-auto,4.242000s,72,40,0.555556,240.000000,432.000000,0.555556,0
10,14:54:54.748,ABSD Target B 05,ABSD Fully-auto,2.645000s,54,40,0.740741,240.000000,324.000000,0.740741,0
11,14:55:02.006,ABSD Target T 06,ABSD Fully-auto,6.049000s,111,40,0.360360,240.000000,666.000000,0.360360,0
12,14:55:05.292,ABSD Target B 06,ABSD Fully-auto,2.743000s,56,40,0.714286,240.000000,336.000000,0.714286,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ABSD Fully-auto,945,480,2880.0,5670.0,

Kills:,12
Deaths:,0
Fight Time:,51.617001
Avg TTK:,5.008305
Damage Done:,2880.0
Damage Taken:,0.0
Midairs:,0
Midaired:,2
Directs:,0
Directed:,9
Reloads:,0
Distance Traveled:,15631.748047
Score:,2880.0
Scenario:,Stair Dodge Robots
Hash:,2b60a15bd7180087eac068742b0dd283
Game Version:,3.0.2
Challenge Start:,H:M:S.s
Pause Count:,8
Pause Duration:,0.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Quake/Source
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,143.951202
Resolution Scale:,100.0
