Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:50:05.851,regen_dot,Poke-Drill,1.947s,154,71,0.461,71,154,0.461,false
2,22:50:14.410,regen_dot,Poke-Drill,7.779s,667,216,0.324,216,667,0.324,false
3,22:50:18.683,regen_dot,Poke-Drill,4.015s,258,107,0.415,107,258,0.415,false
4,22:50:24.185,regen_dot,Poke-Drill,5.253s,468,149,0.318,149,468,0.318,false
5,22:50:27.143,regen_dot,Poke-Drill,2.707s,250,101,0.404,101,250,0.404,false
6,22:50:30.154,regen_dot,Poke-Drill,2.989s,239,97,0.406,97,239,0.406,false
7,22:50:31.625,regen_dot,Poke-Drill,1.219s,123,71,0.577,71,123,0.577,false
8,22:50:35.343,regen_dot,Poke-Drill,3.458s,347,109,0.314,109,347,0.314,false
9,22:50:37.598,regen_dot,Poke-Drill,1.998s,152,69,0.454,69,152,0.454,false
10,22:50:40.820,regen_dot,Poke-Drill,2.97s,203,91,0.448,91,203,0.448,false
11,22:50:42.419,regen_dot,Poke-Drill,1.341s,113,60,0.531,60,113,0.531,false
12,22:50:45.482,regen_dot,Poke-Drill,2.81s,242,96,0.397,96,242,0.397,false
13,22:50:50.622,regen_dot,Poke-Drill,4.882s,395,148,0.375,148,395,0.375,false
14,22:50:52.409,regen_dot,Poke-Drill,1.535s,113,64,0.566,64,113,0.566,false
15,22:50:55.538,regen_dot,Poke-Drill,2.877s,267,111,0.416,111,267,0.416,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,4405,1677,1677.0,4405.0,

Kills:,15
Deaths:,0
Fight Time:,47.779999
Avg TTK:,0
Damage Done:,1677.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,15.0
Scenario:,TamTS Warzone
Hash:,60aae8a70af86e8feb5be02a6329003d
Game Version:,2.0.5.2
Challenge Start:,22:50:00.586
Pause Count:,15
Pause Duration:,311

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,301.336243
Resolution Scale,100.0
