Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:42:05.230,regen_dot,Poke-Drill,1.967s,198,80,0.404,80,198,0.404,false
2,22:42:09.965,regen_dot,Poke-Drill,4.484s,412,177,0.43,177,412,0.43,false
3,22:42:12.006,regen_dot,Poke-Drill,1.788s,164,77,0.47,77,164,0.47,false
4,22:42:14.913,regen_dot,Poke-Drill,2.654s,244,103,0.422,103,244,0.422,false
5,22:42:17.142,regen_dot,Poke-Drill,1.971s,171,77,0.45,77,171,0.45,false
6,22:42:22.634,regen_dot,Poke-Drill,5.235s,316,103,0.326,103,316,0.326,false
7,22:42:24.542,regen_dot,Poke-Drill,1.657s,135,55,0.407,55,135,0.407,false
8,22:42:26.219,regen_dot,Poke-Drill,1.17s,118,64,0.542,64,118,0.542,false
9,22:42:30.622,regen_dot,Poke-Drill,3.77s,378,142,0.376,142,378,0.376,false
10,22:42:36.128,regen_dot,Poke-Drill,5.251s,410,136,0.332,136,410,0.332,false
11,22:42:41.015,regen_dot,Poke-Drill,4.636s,437,158,0.362,158,437,0.362,false
12,22:42:44.071,regen_dot,Poke-Drill,2.805s,242,97,0.401,97,242,0.401,false
13,22:42:45.937,regen_dot,Poke-Drill,1.606s,142,77,0.542,77,142,0.542,false
14,22:42:50.234,regen_dot,Poke-Drill,4.037s,362,150,0.414,150,362,0.414,false
15,22:42:55.396,regen_dot,Poke-Drill,4.906s,431,148,0.343,148,431,0.343,false
16,22:42:58.449,regen_dot,Poke-Drill,2.8s,175,82,0.469,82,175,0.469,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,4669,1828,1828.0,4669.0,

Kills:,16
Deaths:,0
Fight Time:,50.737
Avg TTK:,0
Damage Done:,1828.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,16.0
Scenario:,TamTS Warzone
Hash:,60aae8a70af86e8feb5be02a6329003d
Game Version:,2.0.5.2
Challenge Start:,22:42:02.007
Pause Count:,9
Pause Duration:,227

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,297.816833
Resolution Scale,100.0
