Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:43:14.281,regen_dot,Poke-Drill,1.95s,196,97,0.495,97,196,0.495,false
2,22:43:16.285,regen_dot,Poke-Drill,1.748s,137,71,0.518,71,137,0.518,false
3,22:43:19.131,regen_dot,Poke-Drill,2.605s,183,89,0.486,89,183,0.486,false
4,22:43:21.013,regen_dot,Poke-Drill,1.408s,142,66,0.465,66,142,0.465,false
5,22:43:26.286,regen_dot,Poke-Drill,5.016s,427,152,0.356,152,427,0.356,false
6,22:43:30.907,regen_dot,Poke-Drill,4.363s,417,153,0.367,153,417,0.367,false
7,22:43:33.053,regen_dot,Poke-Drill,1.889s,146,64,0.438,64,146,0.438,false
8,22:43:37.010,regen_dot,Poke-Drill,3.705s,348,114,0.328,114,348,0.328,false
9,22:43:38.773,regen_dot,Poke-Drill,1.512s,122,69,0.566,69,122,0.566,false
10,22:43:41.301,regen_dot,Poke-Drill,2.276s,200,84,0.42,84,200,0.42,false
11,22:43:43.710,regen_dot,Poke-Drill,1.919s,193,91,0.472,91,193,0.472,false
12,22:43:49.646,regen_dot,Poke-Drill,5.678s,511,185,0.362,185,511,0.362,false
13,22:43:53.485,regen_dot,Poke-Drill,3.581s,335,128,0.382,128,335,0.382,false
14,22:43:56.061,regen_dot,Poke-Drill,2.317s,169,84,0.497,84,169,0.497,false
15,22:43:59.670,regen_dot,Poke-Drill,3.35s,336,118,0.351,118,336,0.351,false
16,22:44:01.261,regen_dot,Poke-Drill,1.341s,135,57,0.422,57,135,0.422,false
17,22:44:02.810,regen_dot,Poke-Drill,1.298s,131,71,0.542,71,131,0.542,false
18,22:44:08.863,regen_dot,Poke-Drill,5.803s,524,205,0.391,205,524,0.391,false
19,22:44:10.340,regen_dot,Poke-Drill,1.223s,102,50,0.49,50,102,0.49,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,4758,1948,1948.0,4758.0,

Kills:,19
Deaths:,0
Fight Time:,52.981998
Avg TTK:,0
Damage Done:,1948.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,19.0
Scenario:,TamTS Warzone
Hash:,60aae8a70af86e8feb5be02a6329003d
Game Version:,2.0.5.2
Challenge Start:,22:43:11.194
Pause Count:,10
Pause Duration:,229

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,296.782318
Resolution Scale,100.0
