Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:40:54.627,regen_dot,Poke-Drill,1.717s,173,90,0.52,90,173,0.52,false
2,18:40:57.605,regen_dot,Poke-Drill,1.99s,200,87,0.435,87,200,0.435,false
3,18:41:00.484,regen_dot,Poke-Drill,2.216s,223,80,0.359,80,223,0.359,false
4,18:41:02.223,regen_dot,Poke-Drill,1.509s,97,63,0.649,63,97,0.649,false
5,18:41:03.703,regen_dot,Poke-Drill,0.907s,92,62,0.674,62,92,0.674,false
6,18:41:09.189,regen_dot,Poke-Drill,5.233s,452,174,0.385,174,452,0.385,false
7,18:41:12.060,regen_dot,Poke-Drill,2.357s,237,118,0.498,118,237,0.498,false
8,18:41:14.983,regen_dot,Poke-Drill,2.669s,243,99,0.407,99,243,0.407,false
9,18:41:19.707,regen_dot,Poke-Drill,4.466s,420,159,0.379,159,420,0.379,false
10,18:41:21.980,regen_dot,Poke-Drill,2.018s,167,75,0.449,75,167,0.449,false
11,18:41:24.187,regen_dot,Poke-Drill,1.949s,111,70,0.631,70,111,0.631,false
12,18:41:25.597,regen_dot,Poke-Drill,1.157s,91,57,0.626,57,91,0.626,false
13,18:41:26.632,regen_dot,Poke-Drill,0.777s,52,50,0.962,50,52,0.962,false
14,18:41:29.785,regen_dot,Poke-Drill,2.951s,173,63,0.364,63,173,0.364,false
15,18:41:31.690,regen_dot,Poke-Drill,1.297s,131,73,0.557,73,131,0.557,false
16,18:41:33.296,regen_dot,Poke-Drill,1.373s,87,55,0.632,55,87,0.632,false
17,18:41:35.066,regen_dot,Poke-Drill,0.817s,83,50,0.602,50,83,0.602,false
18,18:41:36.051,regen_dot,Poke-Drill,0.507s,52,50,0.962,50,52,0.962,false
19,18:41:37.496,regen_dot,Poke-Drill,0.537s,55,50,0.909,50,55,0.909,false
20,18:41:38.745,regen_dot,Poke-Drill,0.657s,67,50,0.746,50,67,0.746,false
21,18:41:42.165,regen_dot,Poke-Drill,2.666s,268,116,0.433,116,268,0.433,false
22,18:41:43.606,regen_dot,Poke-Drill,1.205s,67,50,0.746,50,67,0.746,false
23,18:41:46.119,regen_dot,Poke-Drill,1.648s,166,91,0.548,91,166,0.548,false
24,18:41:47.328,regen_dot,Poke-Drill,0.963s,61,50,0.82,50,61,0.82,false
25,18:41:49.762,regen_dot,Poke-Drill,1.538s,155,90,0.581,90,155,0.581,false
26,18:41:50.956,regen_dot,Poke-Drill,0.487s,50,50,1,50,50,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,3990,2022,2022.0,3990.0,

Kills:,26
Deaths:,0
Fight Time:,45.611
Avg TTK:,0
Damage Done:,2022.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,26.0
Scenario:,TamTS Warzone
Hash:,60aae8a70af86e8feb5be02a6329003d
Game Version:,2.0.5.2
Challenge Start:,18:40:51.914
Pause Count:,34
Pause Duration:,1064

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,294.901093
Resolution Scale,100.0
