Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:01:39.756,regen_dot,Poke-Drill,1.999s,201,65,0.323,65,201,0.323,false
2,19:01:41.650,regen_dot,Poke-Drill,1.378s,139,77,0.554,77,139,0.554,false
3,19:01:43.577,regen_dot,Poke-Drill,1.137s,115,71,0.617,71,115,0.617,false
4,19:01:45.777,regen_dot,Poke-Drill,1.948s,148,76,0.514,76,148,0.514,false
5,19:01:47.983,regen_dot,Poke-Drill,1.955s,100,64,0.64,64,100,0.64,false
6,19:01:49.867,regen_dot,Poke-Drill,1.624s,71,53,0.746,53,71,0.746,false
7,19:01:51.516,regen_dot,Poke-Drill,0.799s,81,53,0.654,53,81,0.654,false
8,19:01:53.345,regen_dot,Poke-Drill,0.879s,89,64,0.719,64,89,0.719,false
9,19:01:55.804,regen_dot,Poke-Drill,1.367s,138,63,0.457,63,138,0.457,false
10,19:01:59.844,regen_dot,Poke-Drill,3.672s,311,126,0.405,126,311,0.405,false
11,19:02:03.078,regen_dot,Poke-Drill,2.48s,249,83,0.333,83,249,0.333,false
12,19:02:04.922,regen_dot,Poke-Drill,0.807s,82,62,0.756,62,82,0.756,false
13,19:02:09.577,regen_dot,Poke-Drill,3.257s,327,128,0.391,128,327,0.391,false
14,19:02:12.125,regen_dot,Poke-Drill,1.829s,184,91,0.495,91,184,0.495,false
15,19:02:15.666,regen_dot,Poke-Drill,3.279s,209,101,0.483,101,209,0.483,false
16,19:02:18.051,regen_dot,Poke-Drill,2.16s,170,71,0.418,71,170,0.418,false
17,19:02:19.186,regen_dot,Poke-Drill,0.707s,72,57,0.792,57,72,0.792,false
18,19:02:21.401,regen_dot,Poke-Drill,1.679s,169,65,0.385,65,169,0.385,false
19,19:02:23.682,regen_dot,Poke-Drill,1.329s,134,77,0.575,77,134,0.575,false
20,19:02:26.423,regen_dot,Poke-Drill,2.516s,139,79,0.568,79,139,0.568,false
21,19:02:29.617,regen_dot,Poke-Drill,2.538s,255,101,0.396,101,255,0.396,false
22,19:02:31.298,regen_dot,Poke-Drill,1.037s,105,64,0.61,64,105,0.61,false
23,19:02:33.133,regen_dot,Poke-Drill,0.877s,89,57,0.64,57,89,0.64,false
24,19:02:36.627,regen_dot,Poke-Drill,2.629s,264,113,0.428,113,264,0.428,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,3844,1861,1861.0,3844.0,

Kills:,24
Deaths:,0
Fight Time:,43.882
Avg TTK:,0
Damage Done:,1861.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,24.0
Scenario:,TamTS Warzone
Hash:,60aae8a70af86e8feb5be02a6329003d
Game Version:,2.0.5.2
Challenge Start:,19:01:36.736
Pause Count:,5
Pause Duration:,130

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,299.479645
Resolution Scale,100.0
