Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:48:49.091,regen_dot,Poke-Drill,1.479s,149,71,0.477,71,149,0.477,false
2,18:48:52.259,regen_dot,Poke-Drill,2.506s,221,103,0.466,103,221,0.466,false
3,18:48:54.404,regen_dot,Poke-Drill,1.428s,144,73,0.507,73,144,0.507,false
4,18:48:55.460,regen_dot,Poke-Drill,0.823s,71,57,0.803,57,71,0.803,false
5,18:48:58.076,regen_dot,Poke-Drill,2.057s,207,104,0.502,104,207,0.502,false
6,18:48:59.703,regen_dot,Poke-Drill,0.618s,63,50,0.794,50,63,0.794,false
7,18:49:01.520,regen_dot,Poke-Drill,1.148s,116,52,0.448,52,116,0.448,false
8,18:49:04.959,regen_dot,Poke-Drill,2.377s,239,93,0.389,93,239,0.389,false
9,18:49:07.510,regen_dot,Poke-Drill,2.32s,100,64,0.64,64,100,0.64,false
10,18:49:08.748,regen_dot,Poke-Drill,0.548s,56,50,0.893,50,56,0.893,false
11,18:49:14.828,regen_dot,Poke-Drill,5.828s,508,181,0.356,181,508,0.356,false
12,18:49:16.489,regen_dot,Poke-Drill,1.41s,97,50,0.515,50,97,0.515,false
13,18:49:18.422,regen_dot,Poke-Drill,1.681s,104,50,0.481,50,104,0.481,false
14,18:49:20.377,regen_dot,Poke-Drill,1.046s,106,64,0.604,64,106,0.604,false
15,18:49:22.333,regen_dot,Poke-Drill,1.337s,135,68,0.504,68,135,0.504,false
16,18:49:23.571,regen_dot,Poke-Drill,0.488s,50,50,1,50,50,1,false
17,18:49:25.408,regen_dot,Poke-Drill,1.588s,139,70,0.504,70,139,0.504,false
18,18:49:27.694,regen_dot,Poke-Drill,1.499s,151,79,0.523,79,151,0.523,false
19,18:49:29.176,regen_dot,Poke-Drill,1.253s,93,64,0.688,64,93,0.688,false
20,18:49:31.331,regen_dot,Poke-Drill,0.699s,71,57,0.803,57,71,0.803,false
21,18:49:33.297,regen_dot,Poke-Drill,1.801s,61,50,0.82,50,61,0.82,false
22,18:49:36.620,regen_dot,Poke-Drill,2.347s,236,90,0.381,90,236,0.381,false
23,18:49:40.691,regen_dot,Poke-Drill,3.819s,291,124,0.426,124,291,0.426,false
24,18:49:43.301,regen_dot,Poke-Drill,2.368s,171,61,0.357,61,171,0.357,false
25,18:49:44.805,regen_dot,Poke-Drill,0.999s,101,64,0.634,64,101,0.634,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,3832,1908,1908.0,3832.0,

Kills:,25
Deaths:,0
Fight Time:,43.466999
Avg TTK:,0
Damage Done:,1908.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,25.0
Scenario:,TamTS Warzone
Hash:,60aae8a70af86e8feb5be02a6329003d
Game Version:,2.0.5.3
Challenge Start:,18:48:46.688
Pause Count:,4
Pause Duration:,38

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,295.619659
Resolution Scale,100.0
