Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:49:55.329,regen_dot,Poke-Drill,0.836s,85,57,0.671,57,85,0.671,false
2,18:49:57.058,regen_dot,Poke-Drill,1.169s,118,64,0.542,64,118,0.542,false
3,18:50:00.479,regen_dot,Poke-Drill,2.327s,234,111,0.474,111,234,0.474,false
4,18:50:02.192,regen_dot,Poke-Drill,1.473s,74,50,0.676,50,74,0.676,false
5,18:50:04.030,regen_dot,Poke-Drill,1.317s,133,77,0.579,77,133,0.579,false
6,18:50:06.299,regen_dot,Poke-Drill,0.968s,98,58,0.592,58,98,0.592,false
7,18:50:07.791,regen_dot,Poke-Drill,1.266s,68,50,0.735,50,68,0.735,false
8,18:50:09.860,regen_dot,Poke-Drill,0.64s,65,50,0.769,50,65,0.769,false
9,18:50:12.813,regen_dot,Poke-Drill,2.168s,196,116,0.592,116,196,0.592,false
10,18:50:15.107,regen_dot,Poke-Drill,1.829s,184,97,0.527,97,184,0.527,false
11,18:50:17.446,regen_dot,Poke-Drill,1.489s,150,84,0.56,84,150,0.56,false
12,18:50:19.769,regen_dot,Poke-Drill,1.208s,122,71,0.582,71,122,0.582,false
13,18:50:23.249,regen_dot,Poke-Drill,2.737s,275,114,0.415,114,275,0.415,false
14,18:50:25.905,regen_dot,Poke-Drill,2.425s,155,59,0.381,59,155,0.381,false
15,18:50:28.930,regen_dot,Poke-Drill,2.297s,231,93,0.403,93,231,0.403,false
16,18:50:31.253,regen_dot,Poke-Drill,1.627s,164,69,0.421,69,164,0.421,false
17,18:50:33.114,regen_dot,Poke-Drill,1.611s,72,57,0.792,57,72,0.792,false
18,18:50:35.665,regen_dot,Poke-Drill,1.907s,192,94,0.49,94,192,0.49,false
19,18:50:39.755,regen_dot,Poke-Drill,3.833s,305,105,0.344,105,305,0.344,false
20,18:50:44.721,regen_dot,Poke-Drill,4.713s,389,151,0.388,151,389,0.388,false
21,18:50:46.308,regen_dot,Poke-Drill,1.027s,104,66,0.635,66,104,0.635,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,4072,1857,1857.0,4072.0,

Kills:,21
Deaths:,0
Fight Time:,38.867001
Avg TTK:,0
Damage Done:,1857.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,21.0
Scenario:,TamTS Warzone
Hash:,60aae8a70af86e8feb5be02a6329003d
Game Version:,2.0.5.3
Challenge Start:,18:49:53.551
Pause Count:,5
Pause Duration:,39

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,292.505554
Resolution Scale,100.0
