Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:57:20.406,regen_dot,Poke-Drill,1.097s,111,63,0.568,63,111,0.568,false
2,20:57:22.476,regen_dot,Poke-Drill,1.137s,115,62,0.539,62,115,0.539,false
3,20:57:25.895,regen_dot,Poke-Drill,2.458s,247,114,0.462,114,247,0.462,false
4,20:57:27.719,regen_dot,Poke-Drill,1.427s,144,71,0.493,71,144,0.493,false
5,20:57:28.924,regen_dot,Poke-Drill,0.953s,69,50,0.725,50,69,0.725,false
6,20:57:32.292,regen_dot,Poke-Drill,3.116s,292,119,0.408,119,292,0.408,false
7,20:57:34.307,regen_dot,Poke-Drill,1.097s,111,64,0.577,64,111,0.577,false
8,20:57:35.355,regen_dot,Poke-Drill,0.797s,56,50,0.893,50,56,0.893,false
9,20:57:37.540,regen_dot,Poke-Drill,1.931s,167,79,0.473,79,167,0.473,false
10,20:57:38.925,regen_dot,Poke-Drill,1.141s,59,50,0.847,50,59,0.847,false
11,20:57:42.206,regen_dot,Poke-Drill,2.298s,231,99,0.429,99,231,0.429,false
12,20:57:44.545,regen_dot,Poke-Drill,1.787s,180,84,0.467,84,180,0.467,false
13,20:57:46.124,regen_dot,Poke-Drill,0.488s,50,50,1,50,50,1,false
14,20:57:48.312,regen_dot,Poke-Drill,1.408s,142,84,0.592,84,142,0.592,false
15,20:57:49.737,regen_dot,Poke-Drill,1.174s,97,57,0.588,57,97,0.588,false
16,20:57:51.339,regen_dot,Poke-Drill,1.375s,105,60,0.571,60,105,0.571,false
17,20:57:52.751,regen_dot,Poke-Drill,0.878s,89,50,0.562,50,89,0.562,false
18,20:57:54.142,regen_dot,Poke-Drill,0.549s,56,50,0.893,50,56,0.893,false
19,20:57:57.331,regen_dot,Poke-Drill,2.456s,247,95,0.385,95,247,0.385,false
20,20:57:58.477,regen_dot,Poke-Drill,0.917s,72,50,0.694,50,72,0.694,false
21,20:58:00.201,regen_dot,Poke-Drill,0.838s,85,57,0.671,57,85,0.671,false
22,20:58:01.549,regen_dot,Poke-Drill,0.72s,73,50,0.685,50,73,0.685,false
23,20:58:03.188,regen_dot,Poke-Drill,0.88s,89,57,0.64,57,89,0.64,false
24,20:58:04.859,regen_dot,Poke-Drill,1.258s,127,62,0.488,62,127,0.488,false
25,20:58:06.004,regen_dot,Poke-Drill,0.7s,71,57,0.803,57,71,0.803,false
26,20:58:07.171,regen_dot,Poke-Drill,0.909s,54,50,0.926,50,54,0.926,false
27,20:58:09.079,regen_dot,Poke-Drill,1.656s,94,50,0.532,50,94,0.532,false
28,20:58:10.154,regen_dot,Poke-Drill,0.89s,74,50,0.676,50,74,0.676,false
29,20:58:12.463,regen_dot,Poke-Drill,1.477s,149,58,0.389,58,149,0.389,false
30,20:58:13.752,regen_dot,Poke-Drill,1.036s,84,50,0.595,50,84,0.595,false
31,20:58:16.007,regen_dot,Poke-Drill,1.44s,145,64,0.441,64,145,0.441,false
32,20:58:18.199,regen_dot,Poke-Drill,1.309s,132,57,0.432,57,132,0.432,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,3819,2063,2063.0,3819.0,

Kills:,32
Deaths:,0
Fight Time:,41.597
Avg TTK:,0
Damage Done:,2063.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,32.0
Scenario:,TamTS Warzone
Hash:,60aae8a70af86e8feb5be02a6329003d
Game Version:,v2.6.1
Challenge Start:,20:57:18.740
Pause Count:,11
Pause Duration:,289

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,284.365936
Resolution Scale,100.0
