Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:20:11.894,regen_dot,Poke-Drill,0.551s,56,50,0.893,50,56,0.893,false
2,17:20:14.273,regen_dot,Poke-Drill,1.459s,147,77,0.524,77,147,0.524,false
3,17:20:16.286,regen_dot,Poke-Drill,1.5s,151,62,0.411,62,151,0.411,false
4,17:20:18.513,regen_dot,Poke-Drill,1.136s,115,64,0.557,64,115,0.557,false
5,17:20:19.880,regen_dot,Poke-Drill,1.113s,83,50,0.602,50,83,0.602,false
6,17:20:22.651,regen_dot,Poke-Drill,1.909s,192,76,0.396,76,192,0.396,false
7,17:20:24.072,regen_dot,Poke-Drill,0.487s,50,50,1,50,50,1,false
8,17:20:25.348,regen_dot,Poke-Drill,0.809s,82,50,0.61,50,82,0.61,false
9,17:20:26.914,regen_dot,Poke-Drill,1.34s,115,50,0.435,50,115,0.435,false
10,17:20:29.912,regen_dot,Poke-Drill,2.549s,256,128,0.5,128,256,0.5,false
11,17:20:31.964,regen_dot,Poke-Drill,1.812s,171,94,0.55,94,171,0.55,false
12,17:20:34.496,regen_dot,Poke-Drill,1.656s,167,77,0.461,77,167,0.461,false
13,17:20:36.964,regen_dot,Poke-Drill,2.215s,157,62,0.395,62,157,0.395,false
14,17:20:38.267,regen_dot,Poke-Drill,1.045s,89,57,0.64,57,89,0.64,false
15,17:20:41.245,regen_dot,Poke-Drill,2.723s,262,88,0.336,88,262,0.336,false
16,17:20:42.319,regen_dot,Poke-Drill,0.538s,55,50,0.909,50,55,0.909,false
17,17:20:43.660,regen_dot,Poke-Drill,1.089s,82,52,0.634,52,82,0.634,false
18,17:20:45.011,regen_dot,Poke-Drill,1.092s,84,50,0.595,50,84,0.595,false
19,17:20:46.452,regen_dot,Poke-Drill,1.189s,97,64,0.66,64,97,0.66,false
20,17:20:48.037,regen_dot,Poke-Drill,1.333s,102,53,0.52,53,102,0.52,false
21,17:20:49.492,regen_dot,Poke-Drill,1.198s,71,50,0.704,50,71,0.704,false
22,17:20:51.390,regen_dot,Poke-Drill,1.497s,151,84,0.556,84,151,0.556,false
23,17:20:52.966,regen_dot,Poke-Drill,1.098s,111,57,0.514,57,111,0.514,false
24,17:20:54.660,regen_dot,Poke-Drill,1.442s,111,57,0.514,57,111,0.514,false
25,17:20:56.321,regen_dot,Poke-Drill,1.403s,114,53,0.465,53,114,0.465,false
26,17:20:59.124,regen_dot,Poke-Drill,2.552s,235,94,0.4,94,235,0.4,false
27,17:21:00.819,regen_dot,Poke-Drill,0.997s,101,59,0.584,59,101,0.584,false
28,17:21:03.694,regen_dot,Poke-Drill,2.675s,199,97,0.487,97,199,0.487,false
29,17:21:06.418,regen_dot,Poke-Drill,2.177s,219,100,0.457,100,219,0.457,false
30,17:21:07.696,regen_dot,Poke-Drill,1.048s,87,50,0.575,50,87,0.575,false
31,17:21:10.209,regen_dot,Poke-Drill,2.168s,218,78,0.358,78,218,0.358,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,4130,2083,2083.0,4130.0,

Kills:,31
Deaths:,0
Fight Time:,45.799999
Avg TTK:,0
Damage Done:,2083.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,31.0
Scenario:,TamTS Warzone
Hash:,60aae8a70af86e8feb5be02a6329003d
Game Version:,v2.6.3
Challenge Start:,17:20:10.197
Pause Count:,5
Pause Duration:,3585

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.5
Vert Sens:,6.5
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,266.007996
Resolution Scale,100.0
