Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:01:39.477,Pasu Semi Dodge,pistol,0.318s,2,1,0.5,25,100,0.25,false
2,19:01:40.837,Pasu Semi Dodge,pistol,0.629s,3,1,0.333,25,150,0.167,false
3,19:01:41.680,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
4,19:01:42.634,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
5,19:01:43.740,Pasu Semi Dodge,pistol,0.512s,3,1,0.333,25,150,0.167,false
6,19:01:44.627,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
7,19:01:46.318,Pasu Semi Dodge,pistol,0.765s,2,1,0.5,25,100,0.25,false
8,19:01:47.171,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
9,19:01:47.991,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
10,19:01:48.601,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
11,19:01:49.593,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
12,19:01:50.961,Pasu Semi Dodge,pistol,0.547s,3,1,0.333,25,150,0.167,false
13,19:01:51.910,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
14,19:01:52.434,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
15,19:01:53.279,Pasu Semi Dodge,pistol,0.327s,2,1,0.5,25,100,0.25,false
16,19:01:55.615,Pasu Semi Dodge,pistol,1.349s,4,1,0.25,25,200,0.125,false
17,19:01:56.793,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
18,19:01:57.839,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
19,19:01:58.437,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
20,19:01:59.402,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
21,19:02:02.707,Pasu Semi Dodge,pistol,2.477s,6,1,0.167,25,300,0.083,false
22,19:02:03.329,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
23,19:02:05.109,Pasu Semi Dodge,pistol,0.703s,3,1,0.333,25,150,0.167,false
24,19:02:07.456,Pasu Semi Dodge,pistol,1.478s,3,1,0.333,25,150,0.167,false
25,19:02:08.164,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
26,19:02:09.118,Pasu Semi Dodge,pistol,0.274s,2,1,0.5,25,100,0.25,false
27,19:02:09.803,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
28,19:02:11.142,Pasu Semi Dodge,pistol,0.749s,3,1,0.333,25,150,0.167,false
29,19:02:12.379,Pasu Semi Dodge,pistol,0.283s,2,1,0.5,25,100,0.25,false
30,19:02:13.287,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
31,19:02:14.526,Pasu Semi Dodge,pistol,0.345s,2,1,0.5,25,100,0.25,false
32,19:02:15.493,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
33,19:02:16.584,Pasu Semi Dodge,pistol,0.326s,2,1,0.5,25,100,0.25,false
34,19:02:17.437,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
35,19:02:18.304,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
36,19:02:19.166,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
37,19:02:20.112,Pasu Semi Dodge,pistol,0.747s,2,1,0.5,25,100,0.25,false
38,19:02:20.902,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
39,19:02:21.525,Pasu Semi Dodge,pistol,0s,1,1,1,25,50,0.5,false
40,19:02:22.708,Pasu Semi Dodge,pistol,0.488s,3,1,0.333,25,150,0.167,false
41,19:02:23.763,Pasu Semi Dodge,pistol,0.23s,2,1,0.5,25,100,0.25,false
42,19:02:25.070,Pasu Semi Dodge,pistol,0.358s,2,1,0.5,25,100,0.25,false
