Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:36:51.680,500ms,BB Gun,0s,1,1,1,1,1,1,false
2,16:36:52.061,target,BB Gun,0.001s,1,1,1,1,1,1,false
3,16:36:52.547,target,BB Gun,0s,1,1,1,1,1,1,false
4,16:36:53.287,target,BB Gun,0.426s,2,1,0.5,1,2,0.5,false
5,16:36:55.835,target,BB Gun,2.084s,6,1,0.167,1,6,0.167,false
6,16:36:56.463,target,BB Gun,0.289s,2,1,0.5,1,2,0.5,false
7,16:36:56.909,target,BB Gun,0s,1,1,1,1,1,1,false
8,16:36:57.321,500ms,BB Gun,0s,1,1,1,1,1,1,false
9,16:36:58.034,target,BB Gun,0s,1,1,1,1,1,1,false
10,16:36:58.445,500ms,BB Gun,0s,1,1,1,1,1,1,false
11,16:36:58.786,target,BB Gun,0.001s,1,1,1,1,1,1,false
12,16:36:59.209,target,BB Gun,0s,1,1,1,1,1,1,false
13,16:36:59.560,500ms,BB Gun,0s,1,1,1,1,1,1,false
14,16:37:00.035,target,BB Gun,0s,1,1,1,1,1,1,false
15,16:37:00.626,target,BB Gun,0.224s,2,1,0.5,1,2,0.5,false
16,16:37:01.334,target,BB Gun,0s,1,1,1,1,1,1,false
17,16:37:01.768,500ms,BB Gun,0s,1,1,1,1,1,1,false
18,16:37:02.160,target,BB Gun,0s,1,1,1,1,1,1,false
19,16:37:02.765,target,BB Gun,0s,1,1,1,1,1,1,false
20,16:37:03.701,target,BB Gun,0.556s,3,1,0.333,1,3,0.333,false
21,16:37:04.050,500ms,BB Gun,0s,1,1,1,1,1,1,false
22,16:37:04.402,target,BB Gun,0s,1,1,1,1,1,1,false
23,16:37:04.880,target,BB Gun,0s,1,1,1,1,1,1,false
24,16:37:05.952,target,BB Gun,0.676s,2,1,0.5,1,2,0.5,false
25,16:37:06.206,500ms,BB Gun,0s,1,1,1,1,1,1,false
26,16:37:06.612,target,BB Gun,0s,1,1,1,1,1,1,false
27,16:37:07.105,target,BB Gun,0s,1,1,1,1,1,1,false
28,16:37:08.138,target,BB Gun,0.77s,2,1,0.5,1,2,0.5,false
29,16:37:08.367,500ms,BB Gun,0s,1,1,1,1,1,1,false
30,16:37:08.747,target,BB Gun,0s,1,1,1,1,1,1,false
31,16:37:10.378,target,BB Gun,1.079s,3,1,0.333,1,3,0.333,false
32,16:37:11.377,target,BB Gun,0.685s,3,1,0.333,1,3,0.333,false
33,16:37:11.789,500ms,BB Gun,0s,1,1,1,1,1,1,false
34,16:37:12.226,target,BB Gun,0s,1,1,1,1,1,1,false
35,16:37:12.744,target,BB Gun,0s,1,1,1,1,1,1,false
36,16:37:13.571,target,BB Gun,0.472s,2,1,0.5,1,2,0.5,false
37,16:37:13.925,500ms,BB Gun,0s,1,1,1,1,1,1,false
38,16:37:14.302,target,BB Gun,0s,1,1,1,1,1,1,false
39,16:37:14.771,target,BB Gun,0s,1,1,1,1,1,1,false
40,16:37:15.643,target,BB Gun,0.514s,2,1,0.5,1,2,0.5,false
41,16:37:16.137,500ms,BB Gun,0s,1,1,1,1,1,1,false
