Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:56:34.692,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.397000s,230,224,0.973913,205.000000,210.000000,0.976190,0
2,21:56:35.824,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.660000s,373,219,0.587131,201.000000,340.000000,0.591176,0
3,21:56:36.908,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.756000s,428,221,0.516355,203.000000,390.000000,0.520513,0
4,21:56:37.887,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.694000s,395,221,0.559494,203.000000,360.000000,0.563889,0
5,21:56:38.734,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.639000s,260,235,0.903846,215.000000,237.000000,0.907173,0
6,21:56:39.477,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.437000s,252,202,0.801587,185.000000,230.000000,0.804348,0
7,21:56:40.234,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.395000s,230,229,0.995652,209.000000,210.000000,0.995238,0
8,21:56:41.366,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.374000s,219,219,1.000000,200.000000,200.000000,1.000000,0
9,21:56:42.304,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.555000s,318,219,0.688679,201.000000,290.000000,0.693103,0
10,21:56:43.206,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.618000s,351,224,0.638177,205.000000,320.000000,0.640625,0
11,21:56:43.894,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.395000s,230,221,0.960870,203.000000,210.000000,0.966667,0
12,21:56:45.213,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.597000s,340,226,0.664706,207.000000,310.000000,0.667742,0
13,21:56:46.178,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.514000s,296,222,0.750000,201.000000,270.000000,0.744444,0
14,21:56:46.762,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.423000s,232,228,0.982759,208.000000,211.000000,0.985782,0
15,21:56:48.241,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.714000s,406,221,0.544335,204.000000,370.000000,0.551351,0
16,21:56:49.991,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.465000s,725,409,0.564138,374.000000,660.000000,0.566667,0
17,21:56:50.338,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.056000s,43,35,0.813953,33.000000,40.000000,0.825000,0
18,21:56:51.505,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.458000s,263,222,0.844106,205.000000,240.000000,0.854167,0
