Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:01:04.595,Thin very long strafe,Track Master 100,5.278000s,482,200,0.414938,200.000000,482.000000,0.414938,0
2,15:01:14.769,Thin very long strafe,Track Master 100,9.911000s,730,200,0.273973,200.000000,730.000000,0.273973,0
3,15:01:21.963,Thin very long strafe,Track Master 100,6.937000s,457,200,0.437637,200.000000,457.000000,0.437637,0
4,15:01:30.727,Thin very long strafe,Track Master 100,8.500000s,648,200,0.308642,200.000000,648.000000,0.308642,0
5,15:01:42.527,Thin very long strafe,Track Master 100,11.542001s,852,200,0.234742,200.000000,852.000000,0.234742,0
6,15:01:51.292,Thin very long strafe,Track Master 100,8.508000s,575,200,0.347826,200.000000,575.000000,0.347826,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,4183,1393,1393.0,4183.0,

Kills:,6
Deaths:,0
Fight Time:,50.676003
Avg TTK:,9.999943
Damage Done:,1393.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1393.0
Scenario:,Thin Aiming Long
Hash:,3a5aabeed03bd10e4d437104ff1b425b
Game Version:,3.0.3
Challenge Start:,H:M:S.s
Pause Count:,12
Pause Duration:,0.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Apex Legends
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,144.002335
Resolution Scale:,100.0
