Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:41:06.752,target,pistol,0s,1,1,1,25,50,0.5,false
2,23:41:07.019,target,pistol,0s,1,1,1,25,50,0.5,false
3,23:41:07.246,target,pistol,0s,1,1,1,25,50,0.5,false
4,23:41:07.497,target,pistol,0.001s,1,1,1,25,50,0.5,false
5,23:41:07.776,target,pistol,0s,1,1,1,25,50,0.5,false
6,23:41:08.000,target,pistol,0s,1,1,1,25,50,0.5,false
7,23:41:08.583,target,pistol,0.295s,2,1,0.5,25,100,0.25,false
8,23:41:08.792,target,pistol,0s,1,1,1,25,50,0.5,false
9,23:41:09.045,target,pistol,0s,1,1,1,25,50,0.5,false
10,23:41:09.294,target,pistol,0s,1,1,1,25,50,0.5,false
11,23:41:09.539,target,pistol,0s,1,1,1,25,50,0.5,false
12,23:41:09.819,target,pistol,0s,1,1,1,25,50,0.5,false
13,23:41:10.064,target,pistol,0s,1,1,1,25,50,0.5,false
14,23:41:10.266,target,pistol,0s,1,1,1,25,50,0.5,false
15,23:41:10.594,target,pistol,0s,1,1,1,25,50,0.5,false
16,23:41:10.847,target,pistol,0s,1,1,1,25,50,0.5,false
17,23:41:11.432,target,pistol,0.265s,2,1,0.5,25,100,0.25,false
18,23:41:11.627,target,pistol,0s,1,1,1,25,50,0.5,false
19,23:41:11.856,target,pistol,0s,1,1,1,25,50,0.5,false
20,23:41:12.142,target,pistol,0s,1,1,1,25,50,0.5,false
21,23:41:12.408,target,pistol,0s,1,1,1,25,50,0.5,false
22,23:41:12.606,target,pistol,0s,1,1,1,25,50,0.5,false
23,23:41:12.819,target,pistol,0.001s,1,1,1,25,50,0.5,false
24,23:41:13.112,target,pistol,0s,1,1,1,25,50,0.5,false
25,23:41:13.367,target,pistol,0s,1,1,1,25,50,0.5,false
26,23:41:13.577,target,pistol,0s,1,1,1,25,50,0.5,false
27,23:41:13.790,target,pistol,0.001s,1,1,1,25,50,0.5,false
28,23:41:14.042,target,pistol,0s,1,1,1,25,50,0.5,false
29,23:41:14.279,target,pistol,0s,1,1,1,25,50,0.5,false
30,23:41:14.527,target,pistol,0s,1,1,1,25,50,0.5,false
31,23:41:14.833,target,pistol,0s,1,1,1,25,50,0.5,false
32,23:41:15.561,target,pistol,0.424s,2,1,0.5,25,100,0.25,false
33,23:41:15.766,target,pistol,0s,1,1,1,25,50,0.5,false
34,23:41:16.299,target,pistol,0.306s,2,1,0.5,25,100,0.25,false
35,23:41:16.516,target,pistol,0s,1,1,1,25,50,0.5,false
36,23:41:16.757,target,pistol,0s,1,1,1,25,50,0.5,false
37,23:41:17.267,target,pistol,0.276s,2,1,0.5,25,100,0.25,false
38,23:41:17.510,target,pistol,0s,1,1,1,25,50,0.5,false
39,23:41:17.726,target,pistol,0s,1,1,1,25,50,0.5,false
40,23:41:17.980,target,pistol,0s,1,1,1,25,50,0.5,false
41,23:41:18.579,target,pistol,0.316s,2,1,0.5,25,100,0.25,false
42,23:41:18.999,target,pistol,0.173s,2,1,0.5,25,100,0.25,false
43,23:41:19.346,target,pistol,0s,1,1,1,25,50,0.5,false
44,23:41:19.561,target,pistol,0s,1,1,1,25,50,0.5,false
45,23:41:19.783,target,pistol,0.001s,1,1,1,25,50,0.5,false
46,23:41:20.194,target,pistol,0s,1,1,1,25,50,0.5,false
47,23:41:20.765,target,pistol,0.282s,2,1,0.5,25,100,0.25,false
48,23:41:21.012,target,pistol,0s,1,1,1,25,50,0.5,false
