Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:45:29.683,TileFrenzyStrafing Cube,LG,1.583000s,21,12,0.571429,72.000000,126.000000,0.571429,0
2,18:45:30.460,TileFrenzyStrafing Cube,LG,0.500000s,12,9,0.750000,54.000000,72.000000,0.750000,0
3,18:45:31.939,TileFrenzyStrafing Cube,LG,1.096000s,25,10,0.400000,60.000000,150.000000,0.400000,0
4,18:45:34.010,TileFrenzyStrafing Cube,LG,1.556000s,34,9,0.264706,54.000000,204.000000,0.264706,0
5,18:45:34.926,TileFrenzyStrafing Cube,LG,0.548000s,13,9,0.692308,54.000000,78.000000,0.692308,0
6,18:45:35.829,TileFrenzyStrafing Cube,LG,0.548000s,13,9,0.692308,54.000000,78.000000,0.692308,0
7,18:45:36.795,TileFrenzyStrafing Cube,LG,0.597000s,14,9,0.642857,54.000000,84.000000,0.642857,0
8,18:45:37.448,TileFrenzyStrafing Cube,LG,0.361000s,9,9,1.000000,54.000000,54.000000,1.000000,0
9,18:45:38.170,TileFrenzyStrafing Cube,LG,0.458000s,11,9,0.818182,54.000000,66.000000,0.818182,0
10,18:45:39.621,TileFrenzyStrafing Cube,LG,1.201000s,20,11,0.550000,66.000000,120.000000,0.550000,0
11,18:45:40.316,TileFrenzyStrafing Cube,LG,0.445000s,7,3,0.428571,18.000000,42.000000,0.428571,0
12,18:45:41.240,TileFrenzyStrafing Cube,LG,0.596000s,14,9,0.642857,54.000000,84.000000,0.642857,0
13,18:45:41.991,TileFrenzyStrafing Cube,LG,0.458000s,11,9,0.818182,54.000000,66.000000,0.818182,0
14,18:45:42.685,TileFrenzyStrafing Cube,LG,0.458000s,11,9,0.818182,54.000000,66.000000,0.818182,0
15,18:45:43.726,TileFrenzyStrafing Cube,LG,0.687000s,16,9,0.562500,54.000000,96.000000,0.562500,0
16,18:45:44.462,TileFrenzyStrafing Cube,LG,0.499000s,12,9,0.750000,54.000000,72.000000,0.750000,0
17,18:45:45.517,TileFrenzyStrafing Cube,LG,0.409000s,10,9,0.900000,54.000000,60.000000,0.900000,0
18,18:45:46.178,TileFrenzyStrafing Cube,LG,0.458000s,11,9,0.818182,54.000000,66.000000,0.818182,0
19,18:45:46.886,TileFrenzyStrafing Cube,LG,0.458000s,11,9,0.818182,54.000000,66.000000,0.818182,0
20,18:45:47.587,TileFrenzyStrafing Cube,LG,0.548000s,13,9,0.692308,54.000000,78.000000,0.692308,0
21,18:45:48.873,TileFrenzyStrafing Cube,LG,1.021000s,22,11,0.500000,66.000000,132.000000,0.500000,0
22,18:45:49.755,TileFrenzyStrafing Cube,LG,0.500000s,12,9,0.750000,54.000000,72.000000,0.750000,0
23,18:45:50.429,TileFrenzyStrafing Cube,LG,0.360000s,9,9,1.000000,54.000000,54.000000,1.000000,0
24,18:45:51.255,TileFrenzyStrafing Cube,LG,0.458000s,11,9,0.818182,54.000000,66.000000,0.818182,0
25,18:45:52.304,TileFrenzyStrafing Cube,LG,0.826000s,19,10,0.526316,60.000000,114.000000,0.526316,0
26,18:45:52.999,TileFrenzyStrafing Cube,LG,0.409000s,10,8,0.800000,48.000000,60.000000,0.800000,0
27,18:45:54.138,TileFrenzyStrafing Cube,LG,0.548000s,13,9,0.692308,54.000000,78.000000,0.692308,0
28,18:45:54.826,TileFrenzyStrafing Cube,LG,0.548000s,13,9,0.692308,54.000000,78.000000,0.692308,0
29,18:45:55.625,TileFrenzyStrafing Cube,LG,0.549000s,13,9,0.692308,54.000000,78.000000,0.692308,0
30,18:45:56.291,TileFrenzyStrafing Cube,LG,0.319000s,8,7,0.875000,42.000000,48.000000,0.875000,0
31,18:45:57.500,TileFrenzyStrafing Cube,LG,0.868000s,20,9,0.450000,54.000000,120.000000,0.450000,0
32,18:45:58.215,TileFrenzyStrafing Cube,LG,0.458000s,11,9,0.818182,54.000000,66.000000,0.818182,0
33,18:45:59.048,TileFrenzyStrafing Cube,LG,0.548000s,13,9,0.692308,54.000000,78.000000,0.692308,0
34,18:45:59.806,TileFrenzyStrafing Cube,LG,0.409000s,10,9,0.900000,54.000000,60.000000,0.900000,0
35,18:46:00.486,TileFrenzyStrafing Cube,LG,0.458000s,11,9,0.818182,54.000000,66.000000,0.818182,0
36,18:46:01.347,TileFrenzyStrafing Cube,LG,0.548000s,13,9,0.692308,54.000000,78.000000,0.692308,0
37,18:46:04.202,TileFrenzyStrafing Cube,LG,2.445000s,52,23,0.442308,138.000000,312.000000,0.442308,0
38,18:46:04.834,TileFrenzyStrafing Cube,LG,0.180000s,5,1,0.200000,6.000000,30.000000,0.200000,0
39,18:46:05.556,TileFrenzyStrafing Cube,LG,0.319000s,8,3,0.375000,18.000000,48.000000,0.375000,0
40,18:46:06.327,TileFrenzyStrafing Cube,LG,0.361000s,9,9,1.000000,54.000000,54.000000,1.000000,0
41,18:46:07.314,TileFrenzyStrafing Cube,LG,0.687000s,16,10,0.625000,60.000000,96.000000,0.625000,0
42,18:46:07.938,TileFrenzyStrafing Cube,LG,0.361000s,9,8,0.888889,48.000000,54.000000,0.888889,0
43,18:46:08.633,TileFrenzyStrafing Cube,LG,0.361000s,9,9,1.000000,54.000000,54.000000,1.000000,0
44,18:46:09.445,TileFrenzyStrafing Cube,LG,0.597000s,14,9,0.642857,54.000000,84.000000,0.642857,0
45,18:46:10.134,TileFrenzyStrafing Cube,LG,0.410000s,10,9,0.900000,54.000000,60.000000,0.900000,0
46,18:46:10.794,TileFrenzyStrafing Cube,LG,0.409000s,10,9,0.900000,54.000000,60.000000,0.900000,0
47,18:46:11.710,TileFrenzyStrafing Cube,LG,0.500000s,12,10,0.833333,60.000000,72.000000,0.833333,0
48,18:46:13.460,TileFrenzyStrafing Cube,LG,1.340000s,26,15,0.576923,90.000000,156.000000,0.576923,0
49,18:46:14.002,TileFrenzyStrafing Cube,LG,0.361000s,9,7,0.777778,42.000000,54.000000,0.777778,0
50,18:46:14.634,TileFrenzyStrafing Cube,LG,0.361000s,9,8,0.888889,48.000000,54.000000,0.888889,0
51,18:46:15.370,TileFrenzyStrafing Cube,LG,0.409000s,10,9,0.900000,54.000000,60.000000,0.900000,0
