Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:55:50.186,TileFrenzyStrafing Cube,LG,0.82s,9,9,1,54,54,1,false
2,01:55:50.831,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
3,01:55:52.133,TileFrenzyStrafing Cube,LG,1.082s,22,18,0.818,108,132,0.818,false
4,01:55:52.768,TileFrenzyStrafing Cube,LG,0.39s,6,6,1,36,36,1,false
5,01:55:53.021,TileFrenzyStrafing Cube,LG,0.09s,3,3,1,18,18,1,false
6,01:55:53.702,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
7,01:55:54.280,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
8,01:55:55.368,TileFrenzyStrafing Cube,LG,0.893s,18,17,0.944,102,108,0.944,false
9,01:55:55.984,TileFrenzyStrafing Cube,LG,0.271s,7,1,0.143,6,42,0.143,false
10,01:55:56.563,TileFrenzyStrafing Cube,LG,0.364s,9,9,1,54,54,1,false
11,01:55:57.497,TileFrenzyStrafing Cube,LG,0.641s,15,9,0.6,54,90,0.6,false
12,01:55:58.499,TileFrenzyStrafing Cube,LG,0.458s,11,9,0.818,54,66,0.818,false
13,01:55:59.168,TileFrenzyStrafing Cube,LG,0.458s,11,9,0.818,54,66,0.818,false
14,01:55:59.776,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
15,01:56:00.526,TileFrenzyStrafing Cube,LG,0.456s,11,9,0.818,54,66,0.818,false
16,01:56:01.387,TileFrenzyStrafing Cube,LG,0.502s,12,9,0.75,54,72,0.75,false
17,01:56:02.275,TileFrenzyStrafing Cube,LG,0.643s,15,9,0.6,54,90,0.6,false
18,01:56:02.811,TileFrenzyStrafing Cube,LG,0.368s,9,9,1,54,54,1,false
19,01:56:03.526,TileFrenzyStrafing Cube,LG,0.505s,12,9,0.75,54,72,0.75,false
20,01:56:04.391,TileFrenzyStrafing Cube,LG,0.548s,13,9,0.692,54,78,0.692,false
21,01:56:05.029,TileFrenzyStrafing Cube,LG,0.364s,9,9,1,54,54,1,false
22,01:56:05.683,TileFrenzyStrafing Cube,LG,0.411s,10,9,0.9,54,60,0.9,false
23,01:56:06.658,TileFrenzyStrafing Cube,LG,0.597s,14,9,0.643,54,84,0.643,false
24,01:56:07.288,TileFrenzyStrafing Cube,LG,0.411s,10,9,0.9,54,60,0.9,false
25,01:56:07.995,TileFrenzyStrafing Cube,LG,0.504s,12,9,0.75,54,72,0.75,false
26,01:56:08.587,TileFrenzyStrafing Cube,LG,0.412s,10,9,0.9,54,60,0.9,false
27,01:56:09.142,TileFrenzyStrafing Cube,LG,0.369s,9,9,1,54,54,1,false
28,01:56:09.996,TileFrenzyStrafing Cube,LG,0.688s,16,9,0.562,54,96,0.562,false
29,01:56:11.085,TileFrenzyStrafing Cube,LG,0.641s,15,9,0.6,54,90,0.6,false
30,01:56:11.956,TileFrenzyStrafing Cube,LG,0.548s,13,9,0.692,54,78,0.692,false
31,01:56:12.685,TileFrenzyStrafing Cube,LG,0.504s,12,9,0.75,54,72,0.75,false
32,01:56:13.391,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
33,01:56:14.531,TileFrenzyStrafing Cube,LG,0.503s,12,9,0.75,54,72,0.75,false
