Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:50:37.204,target,pistol mini,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0
2,14:50:37.967,target,pistol mini,0.506000s,3,1,0.333333,25.000000,150.000000,0.166667,0
3,14:50:39.259,target,pistol mini,1.028000s,5,1,0.200000,25.000000,250.000000,0.100000,0
4,14:50:39.891,target,pistol mini,0.354000s,2,1,0.500000,25.000000,100.000000,0.250000,0
5,14:50:40.155,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
6,14:50:41.433,target,pistol mini,1.021000s,5,1,0.200000,25.000000,250.000000,0.100000,0
7,14:50:41.676,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
8,14:50:42.009,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
9,14:50:42.246,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
10,14:50:42.543,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
11,14:50:42.863,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
12,14:50:43.426,target,pistol mini,0.299000s,2,1,0.500000,25.000000,100.000000,0.250000,0
13,14:50:43.711,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
14,14:50:44.010,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
15,14:50:44.245,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
16,14:50:44.482,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
17,14:50:44.773,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
18,14:50:45.009,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
19,14:50:45.322,target,pistol mini,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0
20,14:50:45.530,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
21,14:50:45.760,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
22,14:50:45.960,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
23,14:50:46.189,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
24,14:50:46.412,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
25,14:50:46.682,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
26,14:50:46.912,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
27,14:50:47.148,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
28,14:50:47.356,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
29,14:50:47.752,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
30,14:50:47.940,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
31,14:50:48.183,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
32,14:50:48.816,target,pistol mini,0.278000s,2,1,0.500000,25.000000,100.000000,0.250000,0
33,14:50:49.128,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
34,14:50:49.689,target,pistol mini,0.340000s,2,1,0.500000,25.000000,100.000000,0.250000,0
35,14:50:49.898,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
36,14:50:50.135,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
37,14:50:50.350,target,pistol mini,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0
38,14:50:50.607,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
39,14:50:50.870,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
40,14:50:51.155,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
41,14:50:51.905,target,pistol mini,0.528000s,3,1,0.333333,25.000000,150.000000,0.166667,0
42,14:50:52.391,target,pistol mini,0.263000s,2,1,0.500000,25.000000,100.000000,0.250000,0
43,14:50:52.634,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
44,14:50:52.843,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
45,14:50:53.114,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
46,14:50:53.426,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
47,14:50:53.871,target,pistol mini,0.229000s,2,1,0.500000,25.000000,100.000000,0.250000,0
48,14:50:54.093,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
49,14:50:54.350,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
50,14:50:55.392,target,pistol mini,0.784000s,4,1,0.250000,25.000000,200.000000,0.125000,0
51,14:50:55.648,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
52,14:50:55.967,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
53,14:50:56.211,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
54,14:50:56.447,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
55,14:50:56.704,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
56,14:50:56.926,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
57,14:50:57.148,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
58,14:50:57.420,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
59,14:50:57.642,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
60,14:50:57.864,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
61,14:50:58.141,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
62,14:50:58.405,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
63,14:50:58.676,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
64,14:50:58.912,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
65,14:50:59.142,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
66,14:50:59.364,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
67,14:50:59.899,target,pistol mini,0.250000s,2,1,0.500000,25.000000,100.000000,0.250000,0
68,14:51:00.419,target,pistol mini,0.278000s,2,1,0.500000,25.000000,100.000000,0.250000,0
69,14:51:00.627,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
70,14:51:00.919,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
71,14:51:01.114,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
72,14:51:01.350,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
73,14:51:01.988,target,pistol mini,0.208000s,2,1,0.500000,25.000000,100.000000,0.250000,0
74,14:51:02.183,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
75,14:51:02.545,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
76,14:51:02.766,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
77,14:51:03.003,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
78,14:51:03.204,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
79,14:51:03.475,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
80,14:51:03.731,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
81,14:51:04.002,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
82,14:51:04.468,target,pistol mini,0.215000s,2,1,0.500000,25.000000,100.000000,0.250000,0
83,14:51:04.697,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
84,14:51:05.030,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
85,14:51:05.231,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
86,14:51:05.433,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
87,14:51:05.697,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
88,14:51:05.927,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
89,14:51:06.183,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
90,14:51:06.419,target,pistol mini,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0

