Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:19:12.657,Reflex Strafing Target R,pistol,10.995s,12,1,0.083,25,600,0.042,false
2,00:19:16.731,Reflex Strafing Target L,pistol,3.154s,6,1,0.167,25,300,0.083,false
3,00:19:21.953,Reflex Strafing Target L,pistol,4.398s,5,1,0.2,25,250,0.1,false
4,00:19:27.647,Reflex Strafing Target R,pistol,4.762s,6,1,0.167,25,300,0.083,false
5,00:19:31.666,Reflex Strafing Target L,pistol,3.093s,4,1,0.25,25,200,0.125,false
6,00:19:37.829,Reflex Strafing Target L,pistol,5.083s,6,1,0.167,25,300,0.083,false
7,00:19:38.835,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
8,00:19:39.664,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
9,00:19:40.649,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
10,00:19:41.507,Reflex Strafing Target L,pistol,0.001s,1,1,1,25,50,0.5,false
11,00:19:42.404,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
12,00:19:43.378,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
13,00:19:45.411,Reflex Strafing Target R,pistol,1.083s,2,1,0.5,25,100,0.25,false
14,00:19:46.273,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
15,00:19:47.140,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
16,00:19:48.105,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
17,00:19:54.820,Reflex Strafing Target R,pistol,5.849s,8,1,0.125,25,400,0.062,false
18,00:19:55.792,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
19,00:19:56.746,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,65,19,475.0,3250.0,

Kills:,19
Deaths:,0
Fight Time:,38.417999
Avg TTK:,0
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,19.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,2.0.5.2
Challenge Start:,00:19:00.870
Pause Count:,2
Pause Duration:,8

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,9.0
Vert Sens:,9.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,307.436707
Resolution Scale,100.0
