Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:14:33.406,Reflex Strafing Target L,pistol,15.105s,16,1,0.062,25,800,0.031,false
2,00:14:43.281,Reflex Strafing Target L,pistol,8.915s,10,1,0.1,25,500,0.05,false
3,00:14:44.084,Reflex Strafing Target L,pistol,0.001s,1,1,1,25,50,0.5,false
4,00:14:44.985,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
5,00:14:46.996,Reflex Strafing Target L,pistol,1.077s,2,1,0.5,25,100,0.25,false
6,00:14:52.816,Reflex Strafing Target L,pistol,4.939s,6,1,0.167,25,300,0.083,false
7,00:14:53.806,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
8,00:14:54.762,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
9,00:14:59.896,Reflex Strafing Target R,pistol,4.264s,5,1,0.2,25,250,0.1,false
10,00:15:05.996,Reflex Strafing Target L,pistol,4.919s,6,1,0.167,25,300,0.083,false
11,00:15:06.847,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
12,00:15:07.842,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
13,00:15:10.705,Reflex Strafing Target L,pistol,1.957s,3,1,0.333,25,150,0.167,false
14,00:15:14.471,Reflex Strafing Target L,pistol,2.981s,4,1,0.25,25,200,0.125,false
15,00:15:16.328,Reflex Strafing Target R,pistol,0.935s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,61,15,375.0,3050.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,15
Deaths:,0
Fight Time:,45.092999
Avg TTK:,0
Damage Done:,375.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,15.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,2.0.5.3
Challenge Start:,00:14:17.379
Pause Count:,2
Pause Duration:,20

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,119.911896
Resolution Scale,100.0
