Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:11:50.604,Reflex Strafing Target L,pistol,3.07s,5,1,0.2,25,250,0.1,false
2,03:11:54.428,Reflex Strafing Target L,pistol,2.791s,4,1,0.25,25,200,0.125,false
3,03:12:04.456,Reflex Strafing Target L,pistol,9.138s,10,1,0.1,25,500,0.05,false
4,03:12:05.389,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
5,03:12:14.602,Reflex Strafing Target L,pistol,8.226s,9,1,0.111,25,450,0.056,false
6,03:12:15.554,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
7,03:12:16.490,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
8,03:12:18.424,Reflex Strafing Target R,pistol,0.956s,2,1,0.5,25,100,0.25,false
9,03:12:20.256,Reflex Strafing Target R,pistol,0.857s,2,1,0.5,25,100,0.25,false
10,03:12:22.393,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
11,03:12:24.312,Reflex Strafing Target L,pistol,1.105s,2,1,0.5,25,100,0.25,false
12,03:12:31.589,Reflex Strafing Target R,pistol,6.283s,7,1,0.143,25,350,0.071,false
13,03:12:32.492,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
14,03:12:34.331,Reflex Strafing Target R,pistol,0.949s,2,1,0.5,25,100,0.25,false
15,03:12:38.420,Reflex Strafing Target L,pistol,3.218s,4,1,0.25,25,200,0.125,false
16,03:12:42.351,Reflex Strafing Target L,pistol,2.944s,4,1,0.25,25,200,0.125,false
17,03:12:43.271,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
18,03:12:44.229,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
19,03:12:45.197,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,60,19,475.0,3000.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,19
Deaths:,0
Fight Time:,39.536999
Avg TTK:,0
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,19.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,2.0.5.3
Challenge Start:,03:11:46.633
Pause Count:,34
Pause Duration:,679

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,305.9328
Resolution Scale,100.0
