Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,03:14:02.804,Reflex Strafing Target R,pistol,2.135s,4,1,0.25,25,200,0.125,false
2,03:14:03.874,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
3,03:14:04.650,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
4,03:14:06.412,Reflex Strafing Target R,pistol,0.979s,3,1,0.333,25,150,0.167,false
5,03:14:07.255,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
6,03:14:09.225,Reflex Strafing Target R,pistol,1.035s,3,1,0.333,25,150,0.167,false
7,03:14:12.281,Reflex Strafing Target L,pistol,2.13s,3,1,0.333,25,150,0.167,false
8,03:14:18.300,Reflex Strafing Target R,pistol,5.143s,6,1,0.167,25,300,0.083,false
9,03:14:20.345,Reflex Strafing Target L,pistol,1.047s,2,1,0.5,25,100,0.25,false
10,03:14:23.145,Reflex Strafing Target L,pistol,1.857s,3,1,0.333,25,150,0.167,false
11,03:14:24.029,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
12,03:14:24.975,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
13,03:14:25.779,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
14,03:14:27.767,Reflex Strafing Target L,pistol,0.882s,2,1,0.5,25,100,0.25,false
15,03:14:28.679,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
16,03:14:33.360,Reflex Strafing Target L,pistol,3.662s,5,1,0.2,25,250,0.1,false
17,03:14:39.413,Reflex Strafing Target R,pistol,5.07s,7,1,0.143,25,350,0.071,false
18,03:14:40.404,Reflex Strafing Target R,pistol,0.001s,1,1,1,25,50,0.5,false
19,03:14:43.200,Reflex Strafing Target R,pistol,1.863s,3,1,0.333,25,150,0.167,false
20,03:14:44.984,Reflex Strafing Target L,pistol,0.807s,2,1,0.5,25,100,0.25,false
21,03:14:45.873,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
22,03:14:47.779,Reflex Strafing Target L,pistol,0.936s,2,1,0.5,25,100,0.25,false
23,03:14:49.678,Reflex Strafing Target R,pistol,1.05s,2,1,0.5,25,100,0.25,false
24,03:14:54.763,Reflex Strafing Target R,pistol,4.084s,6,1,0.167,25,300,0.083,false
25,03:14:56.738,Reflex Strafing Target R,pistol,1.01s,2,1,0.5,25,100,0.25,false
26,03:14:57.755,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,67,26,650.0,3350.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,26
Deaths:,0
Fight Time:,33.691002
Avg TTK:,0
Damage Done:,650.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,26.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,2.0.5.3
Challenge Start:,03:14:00.059
Pause Count:,36
Pause Duration:,681

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,305.460663
Resolution Scale,100.0
