Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:26:57.098,Reflex Strafing Target L,pistol,2.974s,4,1,0.25,25,200,0.125,false
2,01:26:59.043,Reflex Strafing Target L,pistol,1.168s,2,1,0.5,25,100,0.25,false
3,01:27:03.887,Reflex Strafing Target L,pistol,3.975s,5,1,0.2,25,250,0.1,false
4,01:27:05.743,Reflex Strafing Target R,pistol,0.832s,2,1,0.5,25,100,0.25,false
5,01:27:07.702,Reflex Strafing Target L,pistol,1.114s,2,1,0.5,25,100,0.25,false
6,01:27:08.602,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
7,01:27:11.609,Reflex Strafing Target R,pistol,2.065s,3,1,0.333,25,150,0.167,false
8,01:27:15.522,Reflex Strafing Target L,pistol,3.108s,4,1,0.25,25,200,0.125,false
9,01:27:18.599,Reflex Strafing Target L,pistol,2.26s,3,1,0.333,25,150,0.167,false
10,01:27:20.595,Reflex Strafing Target R,pistol,1.2s,2,1,0.5,25,100,0.25,false
11,01:27:21.503,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
12,01:27:22.425,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
13,01:27:26.537,Reflex Strafing Target L,pistol,3.265s,4,1,0.25,25,200,0.125,false
14,01:27:27.431,Reflex Strafing Target L,pistol,0.001s,1,1,1,25,50,0.5,false
15,01:27:29.195,Reflex Strafing Target R,pistol,0.872s,2,1,0.5,25,100,0.25,false
16,01:27:31.098,Reflex Strafing Target R,pistol,1.077s,2,1,0.5,25,100,0.25,false
17,01:27:37.033,Reflex Strafing Target R,pistol,5.179s,6,1,0.167,25,300,0.083,false
18,01:27:38.063,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
19,01:27:39.932,Reflex Strafing Target L,pistol,1.053s,2,1,0.5,25,100,0.25,false
20,01:27:41.712,Reflex Strafing Target R,pistol,0.769s,2,1,0.5,25,100,0.25,false
21,01:27:42.602,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
22,01:27:44.550,Reflex Strafing Target R,pistol,1.098s,2,1,0.5,25,100,0.25,false
23,01:27:48.653,Reflex Strafing Target L,pistol,3.22s,4,1,0.25,25,200,0.125,false
24,01:27:51.674,Reflex Strafing Target R,pistol,1.992s,3,1,0.333,25,150,0.167,false
25,01:27:52.742,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,61,25,625.0,3050.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,25
Deaths:,0
Fight Time:,37.222
Avg TTK:,0
Damage Done:,625.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,25.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,2.0.5.3
Challenge Start:,01:26:53.574
Pause Count:,4
Pause Duration:,357

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,305.216583
Resolution Scale,100.0
