Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:28:18.157,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
2,01:28:19.924,Reflex Strafing Target R,pistol,0.758s,2,1,0.5,25,100,0.25,false
3,01:28:22.904,Reflex Strafing Target R,pistol,2.199s,3,1,0.333,25,150,0.167,false
4,01:28:25.957,Reflex Strafing Target L,pistol,2.031s,3,1,0.333,25,150,0.167,false
5,01:28:36.356,Reflex Strafing Target L,pistol,9.434s,10,1,0.1,25,500,0.05,false
6,01:28:37.355,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
7,01:28:38.286,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
8,01:28:40.274,Reflex Strafing Target R,pistol,0.981s,2,1,0.5,25,100,0.25,false
9,01:28:41.052,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
10,01:28:43.070,Reflex Strafing Target L,pistol,1.163s,2,1,0.5,25,100,0.25,false
11,01:28:46.854,Reflex Strafing Target L,pistol,2.845s,4,1,0.25,25,200,0.125,false
12,01:28:57.638,Reflex Strafing Target R,pistol,9.881s,11,1,0.091,25,550,0.045,false
13,01:28:58.385,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
14,01:29:04.588,Reflex Strafing Target L,pistol,5.448s,6,1,0.167,25,300,0.083,false
15,01:29:06.562,Reflex Strafing Target L,pistol,1.13s,2,1,0.5,25,100,0.25,false
16,01:29:07.462,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
17,01:29:08.442,Reflex Strafing Target R,pistol,0.001s,1,1,1,25,50,0.5,false
18,01:29:17.368,Reflex Strafing Target R,pistol,7.946s,9,1,0.111,25,450,0.056,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,61,18,450.0,3050.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,18
Deaths:,0
Fight Time:,43.817001
Avg TTK:,0
Damage Done:,450.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,18.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,2.0.5.3
Challenge Start:,01:28:17.587
Pause Count:,5
Pause Duration:,359

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,304.302216
Resolution Scale,100.0
