Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:26:38.607,Reflex Strafing Target R,pistol,0.758s,2,1,0.5,25,100,0.25,false
2,21:26:43.606,Reflex Strafing Target L,pistol,4.132s,5,1,0.2,25,250,0.1,false
3,21:26:45.400,Reflex Strafing Target L,pistol,1.006s,2,1,0.5,25,100,0.25,false
4,21:26:46.272,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
5,21:26:52.275,Reflex Strafing Target L,pistol,5.123s,6,1,0.167,25,300,0.083,false
6,21:26:53.240,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
7,21:26:58.634,Reflex Strafing Target R,pistol,4.535s,5,1,0.2,25,250,0.1,false
8,21:27:01.490,Reflex Strafing Target R,pistol,2.001s,3,1,0.333,25,150,0.167,false
9,21:27:02.354,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
10,21:27:09.645,Reflex Strafing Target R,pistol,6.44s,7,1,0.143,25,350,0.071,false
11,21:27:12.493,Reflex Strafing Target L,pistol,2.037s,3,1,0.333,25,150,0.167,false
12,21:27:14.324,Reflex Strafing Target R,pistol,0.981s,2,1,0.5,25,100,0.25,false
13,21:27:15.281,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
14,21:27:18.075,Reflex Strafing Target R,pistol,1.934s,3,1,0.333,25,150,0.167,false
15,21:27:23.074,Reflex Strafing Target L,pistol,4.12s,5,1,0.2,25,250,0.1,false
16,21:27:24.918,Reflex Strafing Target L,pistol,1.063s,2,1,0.5,25,100,0.25,false
17,21:27:33.925,Reflex Strafing Target R,pistol,8.01s,9,1,0.111,25,450,0.056,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,60,17,425.0,3000.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,17
Deaths:,0
Fight Time:,42.139999
Avg TTK:,0
Damage Done:,425.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,17.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,2.0.5.3
Challenge Start:,21:26:37.097
Pause Count:,37
Pause Duration:,134

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,304.570343
Resolution Scale,100.0
