Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:27:44.960,Reflex Strafing Target R,pistol,3.974s,5,1,0.2,25,250,0.1,false
2,21:27:45.799,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
3,21:27:46.739,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
4,21:27:51.248,Reflex Strafing Target R,pistol,3.572s,4,1,0.25,25,200,0.125,false
5,21:27:52.228,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
6,21:27:54.025,Reflex Strafing Target R,pistol,0.904s,2,1,0.5,25,100,0.25,false
7,21:27:54.945,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
8,21:27:56.823,Reflex Strafing Target R,pistol,0.815s,2,1,0.5,25,100,0.25,false
9,21:27:58.824,Reflex Strafing Target L,pistol,1.182s,3,1,0.333,25,150,0.167,false
10,21:27:59.696,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
11,21:28:00.586,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
12,21:28:01.481,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
13,21:28:02.440,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
14,21:28:03.264,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
15,21:28:04.080,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
16,21:28:05.930,Reflex Strafing Target L,pistol,0.913s,2,1,0.5,25,100,0.25,false
17,21:28:06.784,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
18,21:28:07.715,Reflex Strafing Target L,pistol,0.001s,1,1,1,25,50,0.5,false
19,21:28:10.829,Reflex Strafing Target L,pistol,2.194s,4,1,0.25,25,200,0.125,false
20,21:28:11.701,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
21,21:28:12.519,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
22,21:28:13.440,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
23,21:28:19.354,Reflex Strafing Target L,pistol,5.094s,8,1,0.125,25,400,0.062,false
24,21:28:20.188,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
25,21:28:21.168,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
26,21:28:23.062,Reflex Strafing Target L,pistol,1.193s,2,1,0.5,25,100,0.25,false
27,21:28:23.970,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
28,21:28:24.975,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
29,21:28:27.733,Reflex Strafing Target R,pistol,1.82s,3,1,0.333,25,150,0.167,false
30,21:28:32.761,Reflex Strafing Target R,pistol,4.113s,5,1,0.2,25,250,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,66,30,750.0,3300.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,30
Deaths:,0
Fight Time:,25.775
Avg TTK:,0
Damage Done:,750.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,30.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,2.0.5.3
Challenge Start:,21:27:40.456
Pause Count:,38
Pause Duration:,135

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,303.520508
Resolution Scale,100.0
