Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:24:49.130,Reflex Strafing Target R,pistol,0.882s,2,1,0.5,25,100,0.25,false
2,18:24:50.003,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
3,18:24:51.775,Reflex Strafing Target R,pistol,0.954s,2,1,0.5,25,100,0.25,false
4,18:24:53.691,Reflex Strafing Target R,pistol,1.004s,2,1,0.5,25,100,0.25,false
5,18:24:55.369,Reflex Strafing Target L,pistol,0.83s,2,1,0.5,25,100,0.25,false
6,18:24:57.071,Reflex Strafing Target L,pistol,0.919s,2,1,0.5,25,100,0.25,false
7,18:24:59.136,Reflex Strafing Target L,pistol,1.14s,2,1,0.5,25,100,0.25,false
8,18:25:05.295,Reflex Strafing Target R,pistol,5.234s,7,1,0.143,25,350,0.071,false
9,18:25:14.710,Reflex Strafing Target L,pistol,8.46s,10,1,0.1,25,500,0.05,false
10,18:25:15.615,Reflex Strafing Target R,pistol,0.001s,1,1,1,25,50,0.5,false
11,18:25:16.377,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
12,18:25:17.277,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
13,18:25:23.604,Reflex Strafing Target R,pistol,5.329s,6,1,0.167,25,300,0.083,false
14,18:25:25.481,Reflex Strafing Target L,pistol,1.05s,2,1,0.5,25,100,0.25,false
15,18:25:34.241,Reflex Strafing Target R,pistol,7.812s,10,1,0.1,25,500,0.05,false
16,18:25:35.150,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
17,18:25:36.267,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
18,18:25:38.070,Reflex Strafing Target R,pistol,0.847s,2,1,0.5,25,100,0.25,false
19,18:25:40.984,Reflex Strafing Target L,pistol,1.97s,3,1,0.333,25,150,0.167,false
20,18:25:44.089,Reflex Strafing Target L,pistol,2.272s,3,1,0.333,25,150,0.167,false
21,18:25:44.855,Reflex Strafing Target L,pistol,0.001s,1,1,1,25,50,0.5,false
22,18:25:45.778,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
23,18:25:46.629,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,65,23,575.0,3250.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,23
Deaths:,0
Fight Time:,38.705002
Avg TTK:,0
Damage Done:,575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,23.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,2.0.5.3
Challenge Start:,18:24:47.689
Pause Count:,36
Pause Duration:,4435

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,303.764435
Resolution Scale,100.0
