Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:25:51.808,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
2,18:25:52.794,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
3,18:25:53.747,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
4,18:25:56.615,Reflex Strafing Target R,pistol,1.971s,3,1,0.333,25,150,0.167,false
5,18:25:58.544,Reflex Strafing Target R,pistol,1.058s,2,1,0.5,25,100,0.25,false
6,18:26:06.236,Reflex Strafing Target R,pistol,6.524s,9,1,0.111,25,450,0.056,false
7,18:26:07.160,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
8,18:26:08.230,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
9,18:26:12.476,Reflex Strafing Target R,pistol,3.301s,4,1,0.25,25,200,0.125,false
10,18:26:13.421,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
11,18:26:15.322,Reflex Strafing Target L,pistol,0.797s,2,1,0.5,25,100,0.25,false
12,18:26:17.056,Reflex Strafing Target R,pistol,1.065s,3,1,0.333,25,150,0.167,false
13,18:26:20.948,Reflex Strafing Target R,pistol,3.058s,5,1,0.2,25,250,0.1,false
14,18:26:24.128,Reflex Strafing Target L,pistol,2.118s,3,1,0.333,25,150,0.167,false
15,18:26:29.328,Reflex Strafing Target L,pistol,4.172s,5,1,0.2,25,250,0.1,false
16,18:26:30.156,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
17,18:26:31.020,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
18,18:26:31.880,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
19,18:26:37.203,Reflex Strafing Target L,pistol,4.186s,5,1,0.2,25,250,0.1,false
20,18:26:39.127,Reflex Strafing Target L,pistol,1.204s,3,1,0.333,25,150,0.167,false
21,18:26:40.943,Reflex Strafing Target L,pistol,0.837s,2,1,0.5,25,100,0.25,false
22,18:26:43.016,Reflex Strafing Target L,pistol,1.031s,2,1,0.5,25,100,0.25,false
23,18:26:47.148,Reflex Strafing Target L,pistol,3.17s,5,1,0.2,25,250,0.1,false
24,18:26:47.968,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,67,24,600.0,3350.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,24
Deaths:,0
Fight Time:,34.492001
Avg TTK:,0
Damage Done:,600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,24.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,2.0.5.3
Challenge Start:,18:25:51.236
Pause Count:,37
Pause Duration:,4436

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,304.569458
Resolution Scale,100.0
