Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:35:15.703,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
2,05:35:20.543,Reflex Strafing Target L,pistol,3.833s,5,1,0.2,25,250,0.1,false
3,05:35:21.402,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
4,05:35:25.257,Reflex Strafing Target L,pistol,2.909s,4,1,0.25,25,200,0.125,false
5,05:35:26.116,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
6,05:35:26.942,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
7,05:35:30.846,Reflex Strafing Target R,pistol,3.043s,4,1,0.25,25,200,0.125,false
8,05:35:32.977,Reflex Strafing Target R,pistol,1.166s,2,1,0.5,25,100,0.25,false
9,05:35:44.063,Reflex Strafing Target L,pistol,10.118s,11,1,0.091,25,550,0.045,false
10,05:35:49.165,Reflex Strafing Target L,pistol,4.15s,5,1,0.2,25,250,0.1,false
11,05:35:52.246,Reflex Strafing Target L,pistol,2.184s,3,1,0.333,25,150,0.167,false
12,05:35:53.232,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
13,05:35:54.174,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
14,05:35:57.281,Reflex Strafing Target R,pistol,2.166s,3,1,0.333,25,150,0.167,false
15,05:36:00.110,Reflex Strafing Target R,pistol,1.871s,4,1,0.25,25,200,0.125,false
16,05:36:00.951,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
17,05:36:01.774,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
18,05:36:02.701,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
19,05:36:03.588,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
20,05:36:05.516,Reflex Strafing Target L,pistol,1.021s,2,1,0.5,25,100,0.25,false
21,05:36:12.722,Reflex Strafing Target R,pistol,6.262s,7,1,0.143,25,350,0.071,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,62,21,525.0,3100.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,21
Deaths:,0
Fight Time:,38.723
Avg TTK:,0
Damage Done:,525.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,21.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,2.0.5.3
Challenge Start:,05:35:15.070
Pause Count:,12
Pause Duration:,245

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,304.997192
Resolution Scale,100.0
