Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:58:34.593,Reflex Strafing Target L,pistol,1.238s,2,1,0.5,25,100,0.25,false
2,02:58:36.542,Reflex Strafing Target R,pistol,0.83s,2,1,0.5,25,100,0.25,false
3,02:58:37.354,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
4,02:58:39.256,Reflex Strafing Target R,pistol,0.95s,2,1,0.5,25,100,0.25,false
5,02:58:47.485,Reflex Strafing Target R,pistol,7.274s,8,1,0.125,25,400,0.062,false
6,02:58:52.888,Reflex Strafing Target L,pistol,4.457s,5,1,0.2,25,250,0.1,false
7,02:58:53.838,Reflex Strafing Target L,pistol,0.001s,1,1,1,25,50,0.5,false
8,02:58:58.785,Reflex Strafing Target R,pistol,3.987s,5,1,0.2,25,250,0.1,false
9,02:59:04.145,Reflex Strafing Target R,pistol,4.401s,5,1,0.2,25,250,0.1,false
10,02:59:08.829,Reflex Strafing Target L,pistol,3.503s,5,1,0.2,25,250,0.1,false
11,02:59:10.521,Reflex Strafing Target R,pistol,0.809s,2,1,0.5,25,100,0.25,false
12,02:59:23.202,Reflex Strafing Target R,pistol,11.867s,12,1,0.083,25,600,0.042,false
13,02:59:25.062,Reflex Strafing Target L,pistol,0.938s,2,1,0.5,25,100,0.25,false
14,02:59:25.969,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
15,02:59:27.868,Reflex Strafing Target L,pistol,1.038s,2,1,0.5,25,100,0.25,false
16,02:59:29.813,Reflex Strafing Target R,pistol,1.16s,2,1,0.5,25,100,0.25,false
17,02:59:30.848,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
18,02:59:32.675,Reflex Strafing Target L,pistol,1.01s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,60,18,450.0,3000.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,18
Deaths:,0
Fight Time:,43.463001
Avg TTK:,0
Damage Done:,450.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,18.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,2.0.5.3
Challenge Start:,02:58:32.800
Pause Count:,3
Pause Duration:,602

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,303.743927
Resolution Scale,100.0
