Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:08:20.445,Reflex Strafing Target R,pistol,4.027s,5,1,0.2,25,250,0.1,false
2,18:08:21.358,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
3,18:08:23.196,Reflex Strafing Target L,pistol,0.861s,2,1,0.5,25,100,0.25,false
4,18:08:23.978,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
5,18:08:26.970,Reflex Strafing Target L,pistol,2.182s,3,1,0.333,25,150,0.167,false
6,18:08:39.216,Reflex Strafing Target L,pistol,11.338s,12,1,0.083,25,600,0.042,false
7,18:08:40.313,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
8,18:08:41.263,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
9,18:08:42.306,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
10,18:08:44.551,Reflex Strafing Target R,pistol,1.228s,2,1,0.5,25,100,0.25,false
11,18:08:46.537,Reflex Strafing Target R,pistol,1.036s,2,1,0.5,25,100,0.25,false
12,18:08:48.428,Reflex Strafing Target L,pistol,0.936s,2,1,0.5,25,100,0.25,false
13,18:08:49.330,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
14,18:08:50.279,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
15,18:08:51.357,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
16,18:08:56.755,Reflex Strafing Target L,pistol,4.282s,5,1,0.2,25,250,0.1,false
17,18:08:59.808,Reflex Strafing Target L,pistol,2.064s,3,1,0.333,25,150,0.167,false
18,18:09:01.869,Reflex Strafing Target R,pistol,0.998s,2,1,0.5,25,100,0.25,false
19,18:09:04.784,Reflex Strafing Target L,pistol,1.864s,3,1,0.333,25,150,0.167,false
20,18:09:06.707,Reflex Strafing Target R,pistol,0.901s,2,1,0.5,25,100,0.25,false
21,18:09:07.685,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
22,18:09:12.737,Reflex Strafing Target L,pistol,4.022s,5,1,0.2,25,250,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,60,22,550.0,3000.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,22
Deaths:,0
Fight Time:,35.738998
Avg TTK:,0
Damage Done:,550.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,22.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,v2.6.3
Challenge Start:,18:08:15.809
Pause Count:,2
Pause Duration:,219

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.5
Vert Sens:,6.5
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,343.206696
Resolution Scale,100.0
