Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:09:44.980,Reflex Strafing Target R,pistol,2.019s,3,1,0.333,25,150,0.167,false
2,18:09:48.132,Reflex Strafing Target R,pistol,2.083s,3,1,0.333,25,150,0.167,false
3,18:09:49.191,Reflex Strafing Target L,pistol,0.001s,1,1,1,25,50,0.5,false
4,18:09:50.071,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
5,18:09:51.200,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
6,18:09:52.111,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
7,18:09:56.208,Reflex Strafing Target L,pistol,3.084s,5,1,0.2,25,250,0.1,false
8,18:09:57.052,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
9,18:09:58.090,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
10,18:09:58.832,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
11,18:09:59.774,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
12,18:10:05.942,Reflex Strafing Target L,pistol,5.296s,6,1,0.167,25,300,0.083,false
13,18:10:07.961,Reflex Strafing Target R,pistol,1.124s,2,1,0.5,25,100,0.25,false
14,18:10:10.004,Reflex Strafing Target R,pistol,0.914s,2,1,0.5,25,100,0.25,false
15,18:10:11.074,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
16,18:10:15.975,Reflex Strafing Target L,pistol,3.909s,5,1,0.2,25,250,0.1,false
17,18:10:17.728,Reflex Strafing Target R,pistol,0.889s,2,1,0.5,25,100,0.25,false
18,18:10:25.814,Reflex Strafing Target L,pistol,7.085s,9,1,0.111,25,450,0.056,false
19,18:10:28.682,Reflex Strafing Target R,pistol,1.927s,3,1,0.333,25,150,0.167,false
20,18:10:29.629,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
21,18:10:31.589,Reflex Strafing Target R,pistol,1.009s,2,1,0.5,25,100,0.25,false
22,18:10:34.781,Reflex Strafing Target R,pistol,2.164s,3,1,0.333,25,150,0.167,false
23,18:10:36.776,Reflex Strafing Target L,pistol,1.011s,2,1,0.5,25,100,0.25,false
24,18:10:38.921,Reflex Strafing Target L,pistol,1.239s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,62,24,600.0,3100.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,24
Deaths:,0
Fight Time:,33.754002
Avg TTK:,0
Damage Done:,600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,24.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,v2.6.3
Challenge Start:,18:09:42.204
Pause Count:,3
Pause Duration:,231

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.5
Vert Sens:,6.5
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,342.699432
Resolution Scale,100.0
