Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:10:48.693,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
2,18:10:57.777,Reflex Strafing Target L,pistol,8.125s,9,1,0.111,25,450,0.056,false
3,18:10:59.887,Reflex Strafing Target R,pistol,1.017s,2,1,0.5,25,100,0.25,false
4,18:11:02.714,Reflex Strafing Target L,pistol,1.932s,3,1,0.333,25,150,0.167,false
5,18:11:04.869,Reflex Strafing Target L,pistol,1.176s,2,1,0.5,25,100,0.25,false
6,18:11:05.721,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
7,18:11:08.862,Reflex Strafing Target R,pistol,2.236s,3,1,0.333,25,150,0.167,false
8,18:11:09.759,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
9,18:11:11.654,Reflex Strafing Target R,pistol,0.986s,2,1,0.5,25,100,0.25,false
10,18:11:17.695,Reflex Strafing Target L,pistol,5.173s,6,1,0.167,25,300,0.083,false
11,18:11:19.530,Reflex Strafing Target L,pistol,1.058s,2,1,0.5,25,100,0.25,false
12,18:11:23.591,Reflex Strafing Target L,pistol,3.125s,4,1,0.25,25,200,0.125,false
13,18:11:28.647,Reflex Strafing Target R,pistol,4.14s,5,1,0.2,25,250,0.1,false
14,18:11:29.583,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
15,18:11:34.535,Reflex Strafing Target R,pistol,3.964s,5,1,0.2,25,250,0.1,false
16,18:11:35.549,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
17,18:11:36.455,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
18,18:11:37.462,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
19,18:11:38.320,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
20,18:11:40.253,Reflex Strafing Target L,pistol,0.965s,2,1,0.5,25,100,0.25,false
21,18:11:42.112,Reflex Strafing Target R,pistol,0.996s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,61,21,525.0,3050.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,21
Deaths:,0
Fight Time:,34.893002
Avg TTK:,0
Damage Done:,525.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,21.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,v2.6.3
Challenge Start:,18:10:48.086
Pause Count:,4
Pause Duration:,234

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.5
Vert Sens:,6.5
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,341.711487
Resolution Scale,100.0
