Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:12:04.709,Pigeon,pistol,3.193s,5,1,0.2,100,1000,0.1,false
2,17:12:07.254,Pigeon,pistol,1.794s,2,1,0.5,100,400,0.25,false
3,17:12:07.830,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
4,17:12:09.310,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
5,17:12:18.313,Pigeon,pistol,8.41s,14,1,0.071,100,2800,0.036,false
6,17:12:20.399,Pigeon,pistol,0.979s,3,1,0.333,100,600,0.167,false
7,17:12:23.537,Pigeon,pistol,2.456s,3,1,0.333,100,600,0.167,false
8,17:12:24.352,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
9,17:12:25.111,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
10,17:12:27.082,Pigeon,pistol,1.113s,2,1,0.5,100,400,0.25,false
11,17:12:28.208,Pigeon,pistol,0.324s,2,1,0.5,100,400,0.25,false
12,17:12:33.647,Pigeon,pistol,4.734s,8,1,0.125,100,1600,0.062,false
13,17:12:36.513,Pigeon,pistol,1.687s,4,1,0.25,100,800,0.125,false
14,17:12:40.563,Pigeon,pistol,2.534s,5,1,0.2,100,1000,0.1,false
15,17:12:41.625,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
16,17:12:42.915,Pigeon,pistol,0.872s,3,1,0.333,100,600,0.167,false
17,17:12:44.004,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
18,17:12:45.566,Pigeon,pistol,0.962s,3,1,0.333,100,600,0.167,false
19,17:12:47.609,Pigeon,pistol,1.28s,3,1,0.333,100,600,0.167,false
20,17:12:50.465,Pigeon,pistol,1.909s,4,1,0.25,100,800,0.125,false
21,17:12:51.575,Pigeon,pistol,0.664s,2,1,0.5,100,400,0.25,false
22,17:12:52.895,Pigeon,pistol,0.743s,2,1,0.5,100,400,0.25,false
23,17:12:53.384,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
24,17:12:53.930,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
25,17:12:55.258,Pigeon,pistol,0.397s,2,1,0.5,100,400,0.25,false
26,17:12:57.266,Pigeon,pistol,1.468s,3,1,0.333,100,600,0.167,false
27,17:12:58.675,Pigeon,pistol,0.516s,2,1,0.5,100,400,0.25,false
28,17:13:00.451,Pigeon,pistol,1.089s,3,1,0.333,100,600,0.167,false
29,17:13:02.219,Pigeon,pistol,0.435s,2,1,0.5,100,400,0.25,false
30,17:13:02.971,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
31,17:13:04.594,Pigeon,pistol,0.907s,2,1,0.5,100,400,0.25,false
32,17:13:07.181,Pigeon,pistol,1.498s,3,1,0.333,100,600,0.167,false
33,17:13:08.854,Pigeon,pistol,0.95s,4,1,0.25,100,800,0.125,false
34,17:13:10.121,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
35,17:13:10.784,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
36,17:13:13.184,Pigeon,pistol,1.96s,4,1,0.25,100,800,0.125,false
37,17:13:16.003,Pigeon,pistol,2.051s,3,1,0.333,100,600,0.167,false
38,17:13:16.439,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
39,17:13:20.290,Pigeon,pistol,3.012s,3,1,0.333,100,600,0.167,false
40,17:13:21.708,Pigeon,pistol,0.338s,2,1,0.5,100,400,0.25,false
41,17:13:23.737,Pigeon,pistol,1.487s,2,1,0.5,100,400,0.25,false
42,17:13:26.823,Pigeon,pistol,2.65s,5,1,0.2,100,1000,0.1,false
43,17:13:28.649,Pigeon,pistol,0.94s,3,1,0.333,100,600,0.167,false
44,17:13:29.297,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
45,17:13:30.264,Pigeon,pistol,0.001s,1,1,1,100,200,0.5,false
46,17:13:32.280,Pigeon,pistol,1.492s,3,1,0.333,100,600,0.167,false
47,17:13:33.544,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
48,17:13:37.467,Pigeon,pistol,3.103s,4,1,0.25,100,800,0.125,false
49,17:13:38.985,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
50,17:13:39.841,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
51,17:13:45.136,Pigeon,pistol,4.71s,8,1,0.125,100,1600,0.062,false
52,17:13:46.281,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
53,17:13:47.715,Pigeon,pistol,0.718s,3,1,0.333,100,600,0.167,false
54,17:13:49.773,Pigeon,pistol,1.396s,3,1,0.333,100,600,0.167,false
55,17:13:52.826,Pigeon,pistol,0.958s,3,1,0.333,100,600,0.167,false
56,17:13:54.085,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
57,17:13:54.889,Pigeon,pistol,0.218s,2,1,0.5,100,400,0.25,false
58,17:13:59.719,Pigeon,pistol,4.074s,7,1,0.143,100,1400,0.071,false
59,17:14:00.989,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
60,17:14:03.103,Pigeon,pistol,0.843s,3,1,0.333,100,600,0.167,false
61,17:14:04.881,Pigeon,pistol,1.102s,3,1,0.333,100,600,0.167,false
62,17:14:06.526,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
63,17:14:07.321,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
64,17:14:08.162,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
65,17:14:13.288,Pigeon,pistol,3.837s,6,1,0.167,100,1200,0.083,false
66,17:14:15.409,Pigeon,pistol,1.464s,4,1,0.25,100,800,0.125,false
67,17:14:18.941,Pigeon,pistol,2.519s,5,1,0.2,100,1000,0.1,false
68,17:14:22.337,Pigeon,pistol,2.824s,4,1,0.25,100,800,0.125,false
69,17:14:23.970,Pigeon,pistol,1.037s,2,1,0.5,100,400,0.25,false
70,17:14:24.649,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
71,17:14:30.097,Pigeon,pistol,3.533s,7,1,0.143,100,1400,0.071,false
72,17:14:35.010,Pigeon,pistol,3.249s,4,1,0.25,100,800,0.125,false
73,17:14:36.665,Pigeon,pistol,0.851s,2,1,0.5,100,400,0.25,false
74,17:14:39.649,Pigeon,pistol,2.136s,5,1,0.2,100,1000,0.1,false
75,17:14:40.371,Pigeon,pistol,0.001s,1,1,1,100,200,0.5,false
76,17:14:42.074,Pigeon,pistol,0.323s,2,1,0.5,100,400,0.25,false
77,17:14:44.530,Pigeon,pistol,1.782s,5,1,0.2,100,1000,0.1,false
78,17:14:55.483,Pigeon,pistol,10.462s,13,1,0.077,100,2600,0.038,false
79,17:14:57.618,Pigeon,pistol,0.488s,2,1,0.5,100,400,0.25,false
80,17:14:59.794,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
81,17:15:00.681,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
82,17:15:01.628,Pigeon,pistol,0.427s,2,1,0.5,100,400,0.25,false
83,17:15:04.623,Pigeon,pistol,0.373s,2,1,0.5,100,400,0.25,false
84,17:15:06.105,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
85,17:15:08.156,Pigeon,pistol,1.328s,2,1,0.5,100,400,0.25,false
86,17:15:10.876,Pigeon,pistol,1.676s,2,1,0.5,100,400,0.25,false
87,17:15:12.294,Pigeon,pistol,0.389s,2,1,0.5,100,400,0.25,false
88,17:15:13.193,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
89,17:15:13.790,Pigeon,pistol,0s,1,1,1,100,200,0.5,false
