Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:11:58.994,air_close_short,LG,10.799s,865,461,0.533,601.142,1127.96,0.533,false
2,19:12:16.062,air1_far_short,LG,16.754s,1259,461,0.366,601.142,1641.718,0.366,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,3954,1287,1678.229126,5156.075684,

Kills:,2
Deaths:,0
Fight Time:,27.552999
Avg TTK:,0
Damage Done:,1678.229126
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,39.696655
Score:,11747.603516
Scenario:,Warzone High Ground Tracking
Hash:,92f5913fa20485b0b9e13c4f71aaffaa
Game Version:,2.0.5.2
Challenge Start:,19:11:45.343
Pause Count:,14
Pause Duration:,165

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,361.287781
Resolution Scale,100.0
