Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:53:49.938,air_close_short,LG,11.3s,905,461,0.509,601.142,1180.118,0.509,false
2,19:54:02.280,air1_far_short,LG,11.133s,892,461,0.517,601.142,1163.167,0.517,false
3,19:54:22.614,Bot Profile,LG,18.973s,1519,461,0.303,601.142,1980.747,0.303,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,3985,1546,2015.953491,5196.505859,

Kills:,3
Deaths:,0
Fight Time:,41.405998
Avg TTK:,0
Damage Done:,2015.953491
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,39.696655
Score:,14111.674805
Scenario:,Warzone High Ground Tracking
Hash:,92f5913fa20485b0b9e13c4f71aaffaa
Game Version:,2.0.5.3
Challenge Start:,19:53:36.429
Pause Count:,39
Pause Duration:,1995

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,358.608887
Resolution Scale,100.0
