Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:57:25.024,air_close_short,LG,9.622s,771,461,0.598,601.142,1005.387,0.598,false
2,18:57:38.080,air1_far_short,LG,12.759s,957,461,0.482,601.142,1247.924,0.482,false
3,18:57:49.911,Bot Profile,LG,10.622s,851,461,0.542,601.142,1109.705,0.542,false
4,18:58:03.932,air1F_close_long,LG,13.705s,1030,461,0.448,601.142,1343.113,0.448,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,4036,2022,2636.63623,5263.02002,

Kills:,4
Deaths:,0
Fight Time:,46.708
Avg TTK:,0
Damage Done:,2636.63623
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,39.696655
Score:,18456.453125
Scenario:,Warzone High Ground Tracking
Hash:,92f5913fa20485b0b9e13c4f71aaffaa
Game Version:,2.0.5.3
Challenge Start:,18:57:13.854
Pause Count:,23
Pause Duration:,1733

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,358.049927
Resolution Scale,100.0
