Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:48:41.695,target,BB Gun,0s,1,1,1,1,1,1,false
2,17:48:42.401,target,BB Gun,0s,1,1,1,1,1,1,false
3,17:48:43.251,target,BB Gun,0s,1,1,1,1,1,1,false
4,17:48:44.056,target,BB Gun,0s,1,1,1,1,1,1,false
5,17:48:44.696,target,BB Gun,0s,1,1,1,1,1,1,false
6,17:48:45.475,target,BB Gun,0s,1,1,1,1,1,1,false
7,17:48:46.252,target,BB Gun,0.001s,1,1,1,1,1,1,false
8,17:48:47.103,target,BB Gun,0s,1,1,1,1,1,1,false
9,17:48:47.789,target,BB Gun,0s,1,1,1,1,1,1,false
10,17:48:48.680,target,BB Gun,0s,1,1,1,1,1,1,false
11,17:48:49.386,target,BB Gun,0.001s,1,1,1,1,1,1,false
12,17:48:50.139,target,BB Gun,0s,1,1,1,1,1,1,false
13,17:48:50.938,target,BB Gun,0s,1,1,1,1,1,1,false
14,17:48:52.731,target,BB Gun,1.143s,3,1,0.333,1,3,0.333,false
15,17:48:53.639,target,BB Gun,0s,1,1,1,1,1,1,false
16,17:48:54.467,target,BB Gun,0s,1,1,1,1,1,1,false
17,17:48:55.206,target,BB Gun,0s,1,1,1,1,1,1,false
18,17:48:56.223,target,BB Gun,0.207s,2,1,0.5,1,2,0.5,false
19,17:48:58.537,target,BB Gun,1.441s,4,1,0.25,1,4,0.25,false
20,17:48:59.362,target,BB Gun,0s,1,1,1,1,1,1,false
21,17:49:00.029,target,BB Gun,0.001s,1,1,1,1,1,1,false
22,17:49:00.972,target,BB Gun,0s,1,1,1,1,1,1,false
23,17:49:02.906,target,BB Gun,1.141s,3,1,0.333,1,3,0.333,false
24,17:49:03.864,target,BB Gun,0s,1,1,1,1,1,1,false
25,17:49:04.895,target,BB Gun,0s,1,1,1,1,1,1,false
26,17:49:05.710,target,BB Gun,0s,1,1,1,1,1,1,false
27,17:49:06.319,target,BB Gun,0s,1,1,1,1,1,1,false
28,17:49:07.408,target,BB Gun,0.182s,2,1,0.5,1,2,0.5,false
29,17:49:08.241,target,BB Gun,0s,1,1,1,1,1,1,false
30,17:49:09.085,target,BB Gun,0s,1,1,1,1,1,1,false
