Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:40:06.788,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
2,16:40:07.628,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
3,16:40:08.163,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0
4,16:40:08.732,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
5,16:40:09.343,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
6,16:40:09.968,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
7,16:40:10.600,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
8,16:40:11.351,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
9,16:40:12.010,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
10,16:40:12.538,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
11,16:40:12.878,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
12,16:40:13.670,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
13,16:40:14.135,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
14,16:40:14.656,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
15,16:40:15.309,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
16,16:40:15.843,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
17,16:40:16.573,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
18,16:40:17.003,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
19,16:40:17.621,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
20,16:40:18.260,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
21,16:40:19.260,target,pistol,0.535000s,2,1,0.500000,25.000000,100.000000,0.250000,0
22,16:40:19.698,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
23,16:40:20.108,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
24,16:40:20.858,target,pistol,0.236000s,2,1,0.500000,25.000000,100.000000,0.250000,0
25,16:40:21.371,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
26,16:40:21.809,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
27,16:40:22.198,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0
28,16:40:22.615,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
29,16:40:23.184,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
30,16:40:23.885,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
31,16:40:24.573,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
32,16:40:24.927,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
33,16:40:25.559,target,pistol,0.271000s,2,1,0.500000,25.000000,100.000000,0.250000,0
34,16:40:25.976,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
35,16:40:26.774,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
36,16:40:27.253,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
37,16:40:27.913,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
38,16:40:28.469,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
39,16:40:29.094,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
40,16:40:29.816,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
41,16:40:30.559,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
42,16:40:31.372,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
43,16:40:31.968,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
44,16:40:32.232,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
45,16:40:33.593,target,pistol,0.722000s,3,1,0.333333,25.000000,150.000000,0.166667,0
46,16:40:34.072,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
47,16:40:34.850,target,pistol,0.194000s,2,1,0.500000,25.000000,100.000000,0.250000,0
48,16:40:35.399,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
49,16:40:36.086,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
50,16:40:36.663,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
51,16:40:37.233,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
52,16:40:37.823,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
53,16:40:38.392,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
54,16:40:39.073,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
55,16:40:39.504,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
56,16:40:39.934,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
57,16:40:40.365,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
58,16:40:41.031,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
59,16:40:41.392,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
60,16:40:41.955,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
61,16:40:42.802,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
62,16:40:43.392,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
63,16:40:44.031,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0
