Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:37:16.786,air1_close_long,Track Master 100,11.409000s,1142,750,0.656743,750.000000,1142.000000,0.656743,0
2,22:37:30.682,air1_far_long,Track Master 100,13.668000s,1151,750,0.651607,750.000000,1151.000000,0.651607,0
3,22:37:50.665,air_close_short,Track Master 100,17.253000s,1706,750,0.439625,750.000000,1706.000000,0.439625,0
4,22:38:10.265,air1_far_short,Track Master 100,17.675001s,1758,750,0.426621,750.000000,1758.000000,0.426621,0
5,22:38:29.890,air1F_close_long,Track Master 100,19.361000s,1660,750,0.451807,750.000000,1660.000000,0.451807,0
6,22:38:47.377,air1F_far_long,Track Master 100,17.230001s,1515,750,0.495050,750.000000,1515.000000,0.495050,0
7,22:39:09.926,air1F_close_short,Track Master 100,22.293001s,2052,750,0.365497,750.000000,2052.000000,0.365497,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,10986,5250,5250.0,10986.0,

Kills:,7
Deaths:,0
Fight Time:,118.889008
Avg TTK:,18.114092
Damage Done:,5250.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,0.0
Scenario:,air nuns easy
Hash:,7c5e2ec45da382ae2ad50c8d58fde4cc
Game Version:,3.0.3
Challenge Start:,H:M:S.s
Pause Count:,39
Pause Duration:,-2147483648.0

Input Lag:,0
Max FPS (config):,144.0
Sens Scale:,Apex Legends
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,143.709793
Resolution Scale:,100.0
