Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:34:50.518,Pigeon,pistol,0.435s,2,1,0.5,50,250,0.2,false
2,17:34:51.417,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,17:34:53.132,Pigeon,pistol,0.391s,2,1,0.5,50,250,0.2,false
4,17:34:54.889,Pigeon,pistol,0.792s,3,1,0.333,50,375,0.133,false
5,17:34:56.233,Pigeon,pistol,0.335s,2,1,0.5,50,250,0.2,false
6,17:34:56.712,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,17:34:57.433,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
8,17:34:58.297,Pigeon,pistol,0.571s,2,1,0.5,50,250,0.2,false
9,17:34:58.833,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
10,17:34:59.998,Pigeon,pistol,0.615s,2,1,0.5,50,250,0.2,false
11,17:35:00.827,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
12,17:35:01.827,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
13,17:35:02.715,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
14,17:35:04.906,Pigeon,pistol,1.252s,4,1,0.25,50,500,0.1,false
15,17:35:05.430,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
16,17:35:06.197,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
17,17:35:06.653,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
18,17:35:07.414,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
19,17:35:09.837,Pigeon,pistol,1.903s,4,1,0.25,50,500,0.1,false
20,17:35:10.514,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,17:35:11.537,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
22,17:35:12.388,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
23,17:35:12.875,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
24,17:35:13.727,Pigeon,pistol,0.278s,2,1,0.5,50,250,0.2,false
25,17:35:15.053,Pigeon,pistol,0.385s,2,1,0.5,50,250,0.2,false
26,17:35:17.322,Pigeon,pistol,1.259s,3,1,0.333,50,375,0.133,false
27,17:35:18.088,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
28,17:35:18.628,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
29,17:35:19.594,Pigeon,pistol,0.33s,2,1,0.5,50,250,0.2,false
30,17:35:20.246,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
31,17:35:20.922,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,17:35:21.410,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
33,17:35:21.830,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
34,17:35:22.358,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,17:35:23.013,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
36,17:35:24.238,Pigeon,pistol,0.631s,2,1,0.5,50,250,0.2,false
37,17:35:25.425,Pigeon,pistol,0.662s,2,1,0.5,50,250,0.2,false
38,17:35:26.735,Pigeon,pistol,0.559s,3,1,0.333,50,375,0.133,false
39,17:35:27.869,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
40,17:35:29.234,Pigeon,pistol,0.318s,2,1,0.5,50,250,0.2,false
41,17:35:30.250,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,17:35:31.030,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
43,17:35:33.047,Pigeon,pistol,1.356s,3,1,0.333,50,375,0.133,false
44,17:35:33.980,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
45,17:35:34.580,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
46,17:35:35.355,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
47,17:35:36.119,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
48,17:35:36.898,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
49,17:35:37.897,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
50,17:35:38.630,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
51,17:35:39.738,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
52,17:35:40.947,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
53,17:35:42.258,Pigeon,pistol,0.463s,2,1,0.5,50,250,0.2,false
54,17:35:43.640,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
