Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:38:06.402,air1F_close_long,LG,210.023s,1631,1000,0.613,1000,1631,0.613,false
2,18:41:02.589,air1F_close_long,LG,174.208s,1560,1000,0.641,1000,1560,0.641,false
3,18:44:14.000,air1F_close_long,LG,189.282s,1681,1000,0.595,1000,1681,0.595,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,5267,3257,3257.0,5267.0,

Kills:,3
Deaths:,0
Fight Time:,573.513
Avg TTK:,0
Damage Done:,3257.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,3257.0
Scenario:,fuglaaXYLongstrafes 10 Min
Hash:,55b905a270e30d47681313b6ff27e31b
Game Version:,2.0.5.3
Challenge Start:,18:35:52.733
Pause Count:,5
Pause Duration:,74

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,319.688904
Resolution Scale,100.0
