Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:18:31.771,air1F_close_long,LG,168.707s,1466,1000,0.682,1000,1466,0.682,false
2,19:21:27.726,air1F_close_long,LG,175.656s,1485,1000,0.673,1000,1485,0.673,false
3,19:24:14.788,air1F_close_long,LG,166.762s,1422,1000,0.703,1000,1422,0.703,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,5113,3515,3515.0,5113.0,

Kills:,3
Deaths:,0
Fight Time:,511.125
Avg TTK:,0
Damage Done:,3515.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,3515.0
Scenario:,fuglaaXYLongstrafes 10 Min
Hash:,55b905a270e30d47681313b6ff27e31b
Game Version:,2.0.5.3
Challenge Start:,19:15:41.552
Pause Count:,3
Pause Duration:,9

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,317.582886
Resolution Scale,100.0
