Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:38:50.702,air1F_close_short,LG,253.789s,2491,1000,0.401,1000,2491,0.401,false
2,17:42:59.656,air1F_close_short,LG,248.652s,2437,1000,0.41,1000,2437,0.41,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,5872,2369,2369.0,5872.0,

Kills:,2
Deaths:,0
Fight Time:,502.44101
Avg TTK:,0
Damage Done:,2369.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,2369.0
Scenario:,fuglaaXYShortstrafes - 10min
Hash:,787bf03fd556c354edc050ff542bd2b4
Game Version:,v2.6.3
Challenge Start:,17:34:36.172
Pause Count:,2
Pause Duration:,45

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.8
Vert Sens:,6.8
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,371.936249
Resolution Scale,100.0
